origin,destination,origin_country,destination_country,count
YSSY,YMML,AU,AU,2261
YMML,YSSY,AU,AU,2220
VABB,VIDP,IN,IN,1809
VIDP,VABB,IN,IN,1796
YBBN,YSSY,AU,AU,1428
YSSY,YBBN,AU,AU,1402
KLAX,KSFO,US,US,1302
VIDP,VOBL,IN,IN,1295
VOBL,VIDP,IN,IN,1260
KSFO,KLAX,US,US,1224
RJFF,RJTK,JP,JP,1206
KLAS,KU30,US,US,1191
KLAX,KLAS,US,US,1092
YMML,YBBN,AU,AU,1079
YBBN,YMML,AU,AU,1075
KLAX,KJFK,US,US,1053
SBRJ,SBSP,BR,BR,1042
VABB,VOBL,IN,IN,998
KORD,KLGA,US,US,968
KLGA,KORD,US,US,955
VOBL,VABB,IN,IN,951
KJFK,KLAX,US,US,928
CYUL,CYYZ,CA,CA,913
WMKK,WBKK,MY,MY,904
KLAS,KLAX,US,US,891
RJTT,RJFF,JP,JP,866
WBKK,WMKK,MY,MY,864
CYYZ,CYUL,CA,CA,842
NZAA,NZCH,NZ,NZ,836
CYYC,CYVR,CA,CA,834
KSEA,KLAX,US,US,832
VIDP,VECC,IN,IN,827
NZCH,NZAA,NZ,NZ,800
KPDX,KSEA,US,US,795
KLAX,KSEA,US,US,789
KSEA,KPDX,US,US,777
CYVR,CYYC,CA,CA,770
YBCG,YSSY,AU,AU,768
VECC,VIDP,IN,IN,749
KSEA,KSFO,US,US,748
KATL,KLGA,US,US,748
CYVR,CYYJ,CA,CA,743
KSJC,KLAX,US,US,731
KLAX,KSJC,US,US,724
ULLI,UUEE,RU,RU,723
KLGA,KATL,US,US,721
KSFO,KSEA,US,US,715
KDCA,KBOS,US,US,712
KBOS,KDCA,US,US,711
VOMM,VIDP,IN,IN,708
KDEN,KPHX,US,US,690
KLAX,KPHX,US,US,685
VIDP,VOMM,IN,IN,685
FAOR,FACT,ZA,ZA,676
KHOU,KDAL,US,US,671
ZGSZ,ZUCK,CN,CN,669
YPAD,YMML,AU,AU,663
KLGA,KBOS,US,US,661
KLAX,KORD,US,US,660
KSEA,PANC,US,US,657
KBOS,KLGA,US,US,648
KLAS,KSFO,US,US,646
YSCB,YSSY,AU,AU,645
KSFO,KLAS,US,US,645
EDDM,EDDT,DE,DE,645
YSSY,YSCB,AU,AU,643
SBSP,SBRJ,BR,BR,641
YMML,YPAD,AU,AU,641
EDDT,EDDM,DE,DE,640
KDFW,KORD,US,US,640
KORD,KDFW,US,US,639
KATL,KFLL,US,US,632
KMSP,KORD,US,US,630
CYYZ,CYVR,CA,CA,627
CYVR,CYYZ,CA,CA,627
KATL,KORD,US,US,622
KORD,KATL,US,US,622
KPHL,KBOS,US,US,620
RJOO,RJTK,JP,JP,620
KFLL,KATL,US,US,620
KORD,KDCA,US,US,614
KBOS,KPHL,US,US,614
