name,source,genre,year_from,year_to,rating,score,rank,popularity,members
Cowboy Bebop,Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",1998,1999,R,8.81,26.0,39.0,795733.0
Cowboy Bebop: Tengoku no Tobira,Original,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",2001,,R,8.41,164.0,449.0,197791.0
Trigun,Manga,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",1998,1998,PG-13,8.3,255.0,146.0,408548.0
Witch Hunter Robin,Original,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",2002,2002,PG-13,7.33,2371.0,1171.0,79397.0
Bouken Ou Beet,Manga,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",2004,2005,PG,7.03,3544.0,3704.0,11708.0
Hachimitsu to Clover,Manga,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",2005,2005,PG-13,8.12,419.0,536.0,172274.0
Hungry Heart: Wild Striker,Manga,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",2002,2003,PG-13,7.67,1186.0,3124.0,17145.0
Initial D Fourth Stage,Manga,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",2004,2006,PG-13,8.23,298.0,1262.0,73438.0
Monster,Manga,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",2004,2005,R+,8.69,49.0,156.0,394387.0
Naruto,Manga,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",2002,2007,PG-13,7.9,705.0,10.0,1091313.0
One Piece,Manga,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",1999,,PG-13,8.53,94.0,36.0,803871.0
Tennis no Ouji-sama,Manga,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",2001,2005,PG-13,8.0,577.0,856.0,113662.0
Ring ni Kakero 1,Manga,"['Action', 'Shounen', 'Sports']",2004,2004,PG,6.54,5641.0,6501.0,2930.0
Sunabouzu,Manga,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",2004,2005,R,7.5,1679.0,1049.0,89817.0
Texhnolyze,Original,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",2003,2003,R+,7.78,942.0,690.0,138500.0
Trinity Blood,Light novel,"['Action', 'Supernatural', 'Vampire']",2005,2005,R,7.4,2081.0,695.0,137800.0
Yakitate!! Japan,Manga,"['Comedy', 'Shounen']",2004,2006,PG-13,8.01,566.0,1388.0,65862.0
Zipang,Manga,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",2004,2005,PG-13,7.54,1564.0,3575.0,12951.0
