year,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
1917,0,0,1,11,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,1,0,1,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1926,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1929,2,1,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1930,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1931,4,5,0,3,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1932,2,1,0,1,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1933,5,5,0,3,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0
1934,0,4,1,2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1935,3,2,0,2,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1936,4,1,0,3,0,1,1,0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1937,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1940,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,1,2,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1943,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1955,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1956,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1957,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1959,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,1,0,1,1,0,0,0,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,2,0,0,2,0,2,0,0,0,5,0,0,7,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,2,0,0,2,0,1,0,2,0,0,0,2,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1963,4,7,0,2,4,0,4,1,2,0,0,0,2,0,0,5,0,0,3,0,4,0,0,0,1,2,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1964,1,4,0,0,3,1,1,0,3,0,0,0,1,0,0,5,0,0,2,1,3,1,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0
1965,7,9,0,10,1,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,0,1,8,0,0,0,2,0,2,1,0,2,1,0,0,0,0
1966,3,7,0,7,2,0,1,0,4,0,0,0,1,0,0,9,1,0,0,0,6,1,0,0,0,0,0,1,5,0,1,0,3,0,3,0,0,0,0,0,0,0,0
1967,5,10,1,8,2,0,2,0,5,0,0,0,4,1,0,8,0,1,0,0,3,1,0,0,0,1,0,0,5,0,1,0,1,0,1,0,1,1,0,0,0,0,0
1968,9,7,0,11,2,1,4,0,4,0,0,0,3,3,0,6,1,2,1,1,4,1,1,1,0,0,1,1,4,0,1,0,4,0,2,0,2,1,2,0,0,0,0
1969,8,7,0,10,3,0,9,0,4,0,0,2,2,1,0,6,1,2,1,0,1,0,0,0,0,0,1,1,3,1,2,0,3,0,6,0,6,0,1,0,0,0,0
1970,3,5,0,10,2,0,8,0,3,0,0,1,4,0,0,12,1,0,0,0,8,0,1,0,1,1,0,0,1,0,4,0,4,0,3,0,11,0,0,0,0,0,0
1971,5,6,0,7,8,2,6,0,2,0,0,1,2,0,0,8,2,1,0,0,9,0,0,0,1,1,1,2,2,1,2,0,1,0,2,0,2,1,2,0,0,0,0
1972,6,8,0,6,3,3,2,0,7,0,0,0,3,2,0,11,0,0,3,0,5,1,0,0,0,1,0,0,4,0,2,0,4,0,2,0,1,0,3,0,0,0,0
1973,4,9,0,4,2,2,2,0,6,0,0,1,4,1,0,8,0,1,2,0,6,0,0,0,1,2,0,2,6,0,1,0,4,0,0,0,3,0,2,0,0,0,0
1974,7,9,0,12,2,0,5,0,6,0,0,0,4,0,0,13,2,0,4,1,3,0,0,1,1,0,0,0,9,0,1,0,5,0,3,1,1,1,0,0,0,0,0
1975,7,12,0,6,8,1,3,0,3,0,0,0,7,0,0,12,1,0,9,0,4,0,0,0,0,3,0,0,8,0,3,0,5,0,3,2,0,0,0,0,1,0,0
1976,14,15,1,4,0,1,6,0,6,0,0,0,9,1,0,20,2,1,13,0,7,0,0,0,2,2,2,1,13,2,0,0,5,0,5,0,2,0,3,0,0,0,0
1977,13,10,3,7,2,0,13,0,3,0,0,0,10,0,0,11,0,0,12,3,4,3,0,0,0,1,0,1,13,1,2,0,6,0,3,2,7,1,1,0,0,0,0
1978,15,24,0,6,1,1,19,0,6,0,0,0,10,0,0,9,2,0,7,2,8,3,0,0,0,4,0,2,17,3,5,0,5,0,4,8,2,1,2,0,0,0,0
1979,15,28,0,10,2,3,23,0,9,1,0,0,13,0,0,18,1,0,6,4,8,3,0,0,0,4,0,2,23,1,5,0,8,0,3,7,6,3,3,0,0,0,0
1980,14,23,1,18,1,1,19,1,11,0,0,0,14,2,0,18,4,0,5,2,8,0,1,0,0,4,0,0,19,0,5,0,9,0,8,13,7,0,3,0,1,0,0
1981,18,28,0,27,1,1,24,2,14,0,0,0,14,3,0,21,0,2,12,3,6,1,1,0,0,5,1,4,28,5,4,0,15,1,14,10,5,0,3,0,0,0,0
