year,disp
1816,1
1817,1
1818,1
1821,4
1822,1
1823,1
1825,1
1826,3
1827,2
1828,1
1829,1
1830,1
1831,4
1832,1
1833,2
1834,1
1835,1
1836,3
1837,1
1838,3
1839,3
1840,2
1842,3
1843,2
1845,2
1846,3
1847,1
1848,4
1849,6
1850,6
1851,1
1852,4
1853,4
1854,6
1855,4
1856,7
1857,3
1858,4
1859,6
1860,6
1861,4
1862,5
1863,5
1864,4
1865,5
1866,8
1868,1
1869,2
1870,4
1871,4
1872,3
1873,4
1874,2
1875,4
1876,8
1877,3
1878,4
1879,3
1880,4
1881,3
1882,5
1883,4
1884,3
1885,6
1886,4
1887,5
1888,4
1889,2
1890,3
1891,5
1893,5
1894,1
1895,6
1896,6
1897,5
1898,7
1899,4
1900,6
1901,3
1902,6
1903,5
1904,3
1905,5
1906,4
1907,6
1908,5
1909,7
1910,6
1911,16
1912,10
1913,9
1914,18
1915,11
1916,14
1917,10
1918,18
1919,18
1920,13
1921,12
1922,8
1923,8
1924,2
1925,6
1926,6
1927,7
1928,3
1929,4
1930,1
1931,6
1932,7
1933,5
1934,11
1935,6
1936,6
1937,11
1938,12
1939,30
1940,47
1941,27
1942,15
1943,17
1944,9
1945,14
1946,7
1947,4
1948,8
1949,18
1950,18
1951,16
1952,13
1953,19
1954,18
1955,25
1956,16
1957,13
1958,31
1959,29
1960,27
1961,22
1962,25
1963,25
1964,19
1965,25
1966,25
1967,27
1968,22
1969,30
1970,12
1971,21
1972,16
1973,22
1974,21
1975,24
1976,28
1977,32
1978,25
1979,24
1980,29
1981,24
1982,32
1983,36
1984,35
1985,37
1986,40
1987,62
1988,29
1989,22
1990,11
1991,20
1992,22
1993,38
1994,37
1995,37
1996,33
1997,36
1998,22
1999,37
2000,31
2001,29
2002,38
2003,37
2004,32
2005,39
2006,25
2007,19
2008,28
2009,21
2010,20
2011,36
2012,28
2013,34
2014,31
