Hour,Total_Solar_Rad,Wind_Avg_mph,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg,Fuel_Temp_Avg,Fuel_Moist_Per,Rel_Hum_Per,Dew_Point_Deg,Wet_Bulb,Total_Precip,Fire,Date,Datetime,station,decimal_lat,decimal_long,geometry
1:00 AM,0.0,22,34,34,50,49,6.2,32,21,38,0,Camp,2018-11-20,11/20/2018 1:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
2:00 AM,0.0,24,35,34,49,48,6.3,33,21,37,0,Camp,2018-11-20,11/20/2018 2:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
3:00 AM,0.0,24,33,39,49,47,6.2,34,22,37,0,Camp,2018-11-20,11/20/2018 3:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
4:00 AM,0.0,23,29,36,48,47,6.3,34,21,37,0,Camp,2018-11-20,11/20/2018 4:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
5:00 AM,0.0,21,30,32,47,46,6.2,35,21,36,0,Camp,2018-11-20,11/20/2018 5:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
6:00 AM,0.0,22,33,32,46,45,6.2,37,21,36,0,Camp,2018-11-20,11/20/2018 6:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
7:00 AM,0.3,21,34,35,45,45,6.3,37,20,35,0,Camp,2018-11-20,11/20/2018 7:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
8:00 AM,3.1,24,36,33,46,46,6.3,36,21,35,0,Camp,2018-11-20,11/20/2018 8:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
9:00 AM,12.0,19,33,36,49,49,6.4,33,21,37,0,Camp,2018-11-20,11/20/2018 9:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
10:00 AM,27.4,14,37,27,52,54,6.6,30,22,39,0,Camp,2018-11-20,11/20/2018 10:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
11:00 AM,37.4,13,32,23,55,56,6.7,26,21,40,0,Camp,2018-11-20,11/20/2018 11:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
12:00 PM,36.1,8,32,18,58,59,6.8,24,21,42,0,Camp,2018-11-20,11/20/2018 12:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
1:00 PM,30.5,5,41,11,60,61,6.8,22,21,42,0,Camp,2018-11-20,11/20/2018 13:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
2:00 PM,19.4,5,215,7,60,62,6.6,27,26,44,0,Camp,2018-11-20,11/20/2018 14:00,Jarbo Gap,39.73583333,-121.48888889999999,POINT (-121.4888888888889 39.73583333333333)
