year0,orig,dest,orig_code,dest_code,flow
2000,AFG,AFG,4,4,0
2000,AFG,AGO,4,24,0
2000,AFG,ARG,4,32,0
2000,AFG,AUS,4,36,0
2000,AFG,BGD,4,50,0
2000,AFG,BRA,4,76,0
2000,AFG,CAN,4,124,0
2000,AFG,CHN,4,156,0
2000,AFG,CIV,4,384,0
2000,AFG,CMR,4,120,0
2000,AFG,COD,4,180,0
2000,AFG,COL,4,170,0
2000,AFG,DEU,4,276,3
2000,AFG,DZA,4,12,0
2000,AFG,EGY,4,818,0
2000,AFG,ESP,4,724,0
2000,AFG,ETH,4,231,0
2000,AFG,FRA,4,250,0
2000,AFG,GBR,4,826,0
2000,AFG,GHA,4,288,0
2000,AFG,IDN,4,360,0
2000,AFG,IND,4,356,0
2000,AFG,IRN,4,364,0
2000,AFG,IRQ,4,368,0
2000,AFG,ITA,4,380,0
2000,AFG,JPN,4,392,0
2000,AFG,KEN,4,404,0
2000,AFG,KOR,4,410,2
2000,AFG,MAR,4,504,0
2000,AFG,MDG,4,450,0
2000,AFG,MEX,4,484,0
2000,AFG,MMR,4,104,0
2000,AFG,MOZ,4,508,0
2000,AFG,MYS,4,458,0
2000,AFG,NGA,4,566,0
2000,AFG,NPL,4,524,0
2000,AFG,PAK,4,586,0
2000,AFG,PER,4,604,0
2000,AFG,PHL,4,608,0
2000,AFG,POL,4,616,0
2000,AFG,PRK,4,408,0
2000,AFG,RUS,4,643,73
2000,AFG,SAU,4,682,0
2000,AFG,THA,4,764,0
2000,AFG,TUR,4,792,0
2000,AFG,TZA,4,834,0
2000,AFG,UGA,4,800,0
2000,AFG,UKR,4,804,8
2000,AFG,USA,4,840,0
2000,AFG,UZB,4,860,0
2000,AFG,VEN,4,862,0
2000,AFG,VNM,4,704,0
2000,AFG,YEM,4,887,0
2000,AFG,ZAF,4,710,0
2000,AGO,AFG,24,4,0
2000,AGO,AGO,24,24,0
2000,AGO,ARG,24,32,0
2000,AGO,AUS,24,36,0
2000,AGO,BGD,24,50,0
2000,AGO,BRA,24,76,0
2000,AGO,CAN,24,124,0
2000,AGO,CHN,24,156,0
2000,AGO,CIV,24,384,0
2000,AGO,CMR,24,120,0
2000,AGO,COD,24,180,0
2000,AGO,COL,24,170,0
2000,AGO,DEU,24,276,0
2000,AGO,DZA,24,12,0
2000,AGO,EGY,24,818,0
2000,AGO,ESP,24,724,0
2000,AGO,ETH,24,231,0
2000,AGO,FRA,24,250,0
2000,AGO,GBR,24,826,0
2000,AGO,GHA,24,288,0
2000,AGO,IDN,24,360,0
2000,AGO,IND,24,356,0
2000,AGO,IRN,24,364,0
2000,AGO,IRQ,24,368,0
2000,AGO,ITA,24,380,0
2000,AGO,JPN,24,392,0
2000,AGO,KEN,24,404,0
2000,AGO,KOR,24,410,0
2000,AGO,MAR,24,504,0
2000,AGO,MDG,24,450,0
2000,AGO,MEX,24,484,0
2000,AGO,MMR,24,104,0
2000,AGO,MOZ,24,508,0
2000,AGO,MYS,24,458,0
2000,AGO,NGA,24,566,0
2000,AGO,NPL,24,524,0
2000,AGO,PAK,24,586,0
2000,AGO,PER,24,604,0
2000,AGO,PHL,24,608,0
2000,AGO,POL,24,616,0
2000,AGO,PRK,24,408,0
2000,AGO,RUS,24,643,0
2000,AGO,SAU,24,682,0
2000,AGO,THA,24,764,0
2000,AGO,TUR,24,792,0
2000,AGO,TZA,24,834,0
2000,AGO,UGA,24,800,0
2000,AGO,UKR,24,804,0
2000,AGO,USA,24,840,0
2000,AGO,UZB,24,860,0
2000,AGO,VEN,24,862,0
2000,AGO,VNM,24,704,0
2000,AGO,YEM,24,887,0
2000,AGO,ZAF,24,710,0
2000,ARG,AFG,32,4,1
2000,ARG,AGO,32,24,225
2000,ARG,ARG,32,32,0
2000,ARG,AUS,32,36,4318
2000,ARG,BGD,32,50,0
2000,ARG,BRA,32,76,776
2000,ARG,CAN,32,124,8741
2000,ARG,CHN,32,156,0
2000,ARG,CIV,32,384,0
2000,ARG,CMR,32,120,133
2000,ARG,COD,32,180,0
2000,ARG,COL,32,170,4354
2000,ARG,DEU,32,276,31592
2000,ARG,DZA,32,12,265
2000,ARG,EGY,32,818,27
2000,ARG,ESP,32,724,312408
2000,ARG,ETH,32,231,0
2000,ARG,FRA,32,250,6141
2000,ARG,GBR,32,826,15714
2000,ARG,GHA,32,288,3
2000,ARG,IDN,32,360,58
2000,ARG,IND,32,356,0
2000,ARG,IRN,32,364,20
2000,ARG,IRQ,32,368,22
2000,ARG,ITA,32,380,104515
2000,ARG,JPN,32,392,100
2000,ARG,KEN,32,404,0
2000,ARG,KOR,32,410,97
2000,ARG,MAR,32,504,104
2000,ARG,MDG,32,450,4
2000,ARG,MEX,32,484,7476
2000,ARG,MMR,32,104,0
2000,ARG,MOZ,32,508,0
2000,ARG,MYS,32,458,2
2000,ARG,NGA,32,566,0
2000,ARG,NPL,32,524,0
2000,ARG,PAK,32,586,0
2000,ARG,PER,32,604,0
2000,ARG,PHL,32,608,425
2000,ARG,POL,32,616,3545
2000,ARG,PRK,32,408,3
2000,ARG,RUS,32,643,2267
2000,ARG,SAU,32,682,80
2000,ARG,THA,32,764,437
2000,ARG,TUR,32,792,1235
2000,ARG,TZA,32,834,13
2000,ARG,UGA,32,800,1
2000,ARG,UKR,32,804,137
2000,ARG,USA,32,840,61481
2000,ARG,UZB,32,860,3
2000,ARG,VEN,32,862,12047
2000,ARG,VNM,32,704,7
2000,ARG,YEM,32,887,0
2000,ARG,ZAF,32,710,6989
2000,AUS,AFG,36,4,0
2000,AUS,AGO,36,24,98
2000,AUS,ARG,36,32,18
2000,AUS,AUS,36,36,0
2000,AUS,BGD,36,50,0
2000,AUS,BRA,36,76,325
2000,AUS,CAN,36,124,9989
2000,AUS,CHN,36,156,0
2000,AUS,CIV,36,384,0
2000,AUS,CMR,36,120,92
2000,AUS,COD,36,180,0
2000,AUS,COL,36,170,317
2000,AUS,DEU,36,276,62187
2000,AUS,DZA,36,12,103
2000,AUS,EGY,36,818,32
2000,AUS,ESP,36,724,29393
2000,AUS,ETH,36,231,0
2000,AUS,FRA,36,250,6729
