,Month,Domestic,International,total_count,Name
0,2019-12,50755,11647,62402,Australia
1,2020-01,48075,11583,59658,Australia
2,2020-02,47908,10785,58693,Australia
3,2020-03,45903,7906,53809,Australia
4,2020-04,17595,2135,19730,Australia
5,2020-05,20695,2589,23284,Australia
6,2020-06,24311,2423,26734,Australia
7,2020-07,26360,2555,28915,Australia
8,2020-08,20715,2591,23306,Australia
9,2020-09,21868,2629,24497,Australia
10,2020-10,24173,3063,27236,Australia
11,2020-11,28997,3230,32227,Australia
12,2020-12,33388,3465,36853,Australia
13,2021-01,30630,3181,33811,Australia
14,2019-12,3203,2372,5575,South Africa
15,2020-01,2072,1969,4041,South Africa
16,2020-02,2532,2203,4735,South Africa
17,2020-03,2136,1764,3900,South Africa
18,2020-04,88,340,428,South Africa
19,2020-05,139,463,602,South Africa
20,2020-06,422,523,945,South Africa
21,2020-07,622,622,1244,South Africa
22,2020-08,782,705,1487,South Africa
23,2020-09,1150,721,1871,South Africa
24,2020-10,1475,1110,2585,South Africa
25,2020-11,1552,1116,2668,South Africa
26,2020-12,2574,1173,3747,South Africa
27,2021-01,1813,909,2722,South Africa
28,2019-12,21291,14820,36111,India
29,2020-01,22029,15640,37669,India
30,2020-02,21664,14609,36273,India
31,2020-03,16530,9121,25651,India
32,2020-04,593,1317,1910,India
33,2020-05,1663,2447,4110,India
34,2020-06,4949,4279,9228,India
35,2020-07,4926,5178,10104,India
36,2020-08,5057,4769,9826,India
37,2020-09,5995,4442,10437,India
38,2020-10,11084,6020,17104,India
39,2020-11,12293,6685,18978,India
40,2020-12,14388,7297,21685,India
41,2021-01,16107,7681,23788,India
42,2019-12,838245,72664,910909,United States
43,2020-01,875715,72864,948579,United States
44,2020-02,914154,73956,988110,United States
45,2020-03,805240,59685,864925,United States
46,2020-04,425069,15825,440894,United States
47,2020-05,552491,18391,570882,United States
48,2020-06,691872,22223,714095,United States
49,2020-07,818895,26939,845834,United States
50,2020-08,856972,27532,884504,United States
51,2020-09,802657,28952,831609,United States
52,2020-10,842165,32842,875007,United States
53,2020-11,787367,34347,821714,United States
54,2020-12,768844,40551,809395,United States
55,2021-01,738192,37987,776179,United States
56,2019-12,7325,12835,20160,Japan
57,2020-01,8217,12052,20269,Japan
58,2020-02,7509,11877,19386,Japan
59,2020-03,7147,5922,13069,Japan
60,2020-04,3946,2299,6245,Japan
61,2020-05,2318,2474,4792,Japan
62,2020-06,4594,2689,7283,Japan
63,2020-07,7321,3043,10364,Japan
64,2020-08,9071,3061,12132,Japan
65,2020-09,7200,3285,10485,Japan
66,2020-10,7983,3381,11364,Japan
67,2020-11,10238,3598,13836,Japan
68,2020-12,10942,6370,17312,Japan
69,2021-01,5742,6492,12234,Japan
70,2019-12,6674,18216,24890,Russian Federation
71,2020-01,7206,18833,26039,Russian Federation
72,2020-02,6371,17756,24127,Russian Federation
73,2020-03,7220,12719,19939,Russian Federation
74,2020-04,1564,1630,3194,Russian Federation
75,2020-05,1772,2376,4148,Russian Federation
76,2020-06,4229,2365,6594,Russian Federation
77,2020-07,5638,2905,8543,Russian Federation
78,2020-08,6736,5658,12394,Russian Federation
79,2020-09,8750,6915,15665,Russian Federation
80,2020-10,6614,9051,15665,Russian Federation
81,2020-11,5982,6660,12642,Russian Federation
82,2020-12,6749,6046,12795,Russian Federation
83,2021-01,6176,5757,11933,Russian Federation
84,2019-12,861,9672,10533,Qatar
85,2020-01,851,9937,10788,Qatar
86,2020-02,864,9810,10674,Qatar
87,2020-03,1201,7869,9070,Qatar
88,2020-04,752,3567,4319,Qatar
89,2020-05,538,3982,4520,Qatar
90,2020-06,808,4212,5020,Qatar
91,2020-07,1241,5265,6506,Qatar
92,2020-08,431,5650,6081,Qatar
93,2020-09,1219,5894,7113,Qatar
94,2020-10,1314,6560,7874,Qatar
95,2020-11,1463,6588,8051,Qatar
96,2020-12,1068,6845,7913,Qatar
97,2021-01,863,7191,8054,Qatar
98,2019-12,4170,12143,16313,Malaysia
99,2020-01,4154,12040,16194,Malaysia
100,2020-02,4234,10753,14987,Malaysia
101,2020-03,2131,5760,7891,Malaysia
102,2020-04,294,1149,1443,Malaysia
103,2020-05,509,1245,1754,Malaysia
104,2020-06,682,1274,1956,Malaysia
105,2020-07,1301,1482,2783,Malaysia
106,2020-08,1565,1574,3139,Malaysia
107,2020-09,2017,1606,3623,Malaysia
108,2020-10,842,1823,2665,Malaysia
109,2020-11,698,1874,2572,Malaysia
110,2020-12,1464,2184,3648,Malaysia
111,2021-01,970,2259,3229,Malaysia
112,2019-12,2297,21617,23914,United Arab Emirates
113,2020-01,2225,21529,23754,United Arab Emirates
114,2020-02,1742,17921,19663,United Arab Emirates
115,2020-03,1724,13487,15211,United Arab Emirates
116,2020-04,462,3465,3927,United Arab Emirates
117,2020-05,594,5059,5653,United Arab Emirates
118,2020-06,991,5950,6941,United Arab Emirates
119,2020-07,1148,7421,8569,United Arab Emirates
120,2020-08,1094,8018,9112,United Arab Emirates
121,2020-09,917,8676,9593,United Arab Emirates
122,2020-10,852,11138,11990,United Arab Emirates
123,2020-11,994,11521,12515,United Arab Emirates
124,2020-12,1058,13393,14451,United Arab Emirates
125,2021-01,1334,13442,14776,United Arab Emirates
126,2019-12,316,17116,17432,Singapore
127,2020-01,284,16551,16835,Singapore
128,2020-02,199,15455,15654,Singapore
129,2020-03,99,7749,7848,Singapore
130,2020-04,39,2258,2297,Singapore
131,2020-05,50,2547,2597,Singapore
132,2020-06,89,3325,3414,Singapore
133,2020-07,80,3483,3563,Singapore
134,2020-08,84,3655,3739,Singapore
135,2020-09,105,3667,3772,Singapore
136,2020-10,106,3916,4022,Singapore
137,2020-11,132,4320,4452,Singapore
138,2020-12,145,4981,5126,Singapore
139,2021-01,192,5324,5516,Singapore
140,2019-12,654,18503,19157,Hong Kong
141,2020-01,611,17707,18318,Hong Kong
142,2020-02,429,11542,11971,Hong Kong
143,2020-03,446,8019,8465,Hong Kong
144,2020-04,471,6681,7152,Hong Kong
145,2020-05,499,8245,8744,Hong Kong
146,2020-06,514,7141,7655,Hong Kong
147,2020-07,384,7061,7445,Hong Kong
148,2020-08,296,7018,7314,Hong Kong
149,2020-09,315,7566,7881,Hong Kong
