mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
0,afro soul,0.00627,0.7659999999999999,202627.0,0.873,0.0,0.0764,-6.381,0.14300000000000002,126.988,0.743,77.0,11
0,afroswing,0.31845,0.71175,179995.375,0.5801875,0.000257895,0.18995,-7.0166875,0.1955625,83.250125,0.676625,77.3125,11
0,alberta hip hop,0.33,0.885,144000.0,0.685,0.0,0.14800000000000002,-6.428999999999999,0.0627,99.954,0.937,78.5,11
1,basshall,0.21316666666666664,0.8180000000000001,169799.1666666667,0.6301666666666668,2e-05,0.08106666666666668,-6.627833333333332,0.1348333333333333,115.0925,0.5886666666666667,80.66666666666666,2
0,chinese electropop,0.00257,0.66,217088.0,0.787,0.0,0.32299999999999995,-4.592,0.032,142.018,0.19899999999999998,78.5,1
1,circuit,0.00903,0.745,189818.0,0.972,0.465,0.297,-3.5060000000000002,0.0774,128.031,0.556,77.0,7
1,guaracha,0.00903,0.745,189818.0,0.972,0.465,0.297,-3.5060000000000002,0.0774,128.031,0.556,77.0,7
1,indie triste,0.946,0.83,207400.0,0.159,2.02e-05,0.36200000000000004,-14.460999999999999,0.0383,104.95,0.18899999999999997,77.0,1
0,pagode baiano,0.2563333333333333,0.8266666666666667,226325.66666666663,0.6659999999999999,2.4906666666666666e-05,0.1111,-4.3196666666666665,0.10026666666666667,147.34133333333332,0.7280000000000001,76.66666666666667,6
0,ritmo kombina,0.2513333333333333,0.8450000000000001,172747.33333333337,0.5783333333333334,4e-05,0.06953333333333334,-5.927666666666667,0.11166666666666664,132.154,0.5053333333333333,76.33333333333333,2
1,russian dance,0.00561,0.653,198095.0,0.945,0.915,0.439,-2.634,0.096,126.09299999999999,0.326,77.0,5
1,south african house,0.043833333333333335,0.847,311854.33333333326,0.5623333333333332,0.13033916666666667,0.07513333333333334,-7.7189999999999985,0.05073333333333333,123.67633333333332,0.8343333333333334,80.0,1
1,trap venezolano,0.0446,0.877,231848.0,0.777,3.46e-05,0.0863,-4.246,0.11699999999999999,102.02,0.706,80.0,1
0,turkish edm,0.00829,0.698,186700.0,0.7190000000000001,4.01e-06,0.326,-4.923,0.0455,120.06200000000001,0.364,80.0,0
0,uk diy punk,0.00020899999999999998,0.452,209598.0,0.937,3.61e-06,0.606,-3.346,0.161,164.032,0.604,77.0,1
