groups,variables,r
dance.,dance.,0.9999999999999997
dance.,energy,0.29978013801631387
dance.,speech.,0.24205201818144012
dance.,live.,-0.0551471760572478
dance.,acoust.,-0.3249906722266416
dance.,valence,0.652545559323649
dance.,ntempo,0.08286889926023638
dance.,instru.,-0.3831020083337327
dance.,nduration,-0.1606337147746844
energy,dance.,0.29978013801631387
energy,energy,0.9999999999999998
energy,speech.,0.11979104021247479
energy,live.,0.1682332009428269
energy,acoust.,-0.8682737210330164
energy,valence,0.30516619497707265
energy,ntempo,0.43082493886150475
energy,instru.,-0.3249395000911118
energy,nduration,-0.04815847660831077
speech.,dance.,0.24205201818144012
speech.,energy,0.11979104021247479
speech.,speech.,0.9999999999999999
speech.,live.,0.19013552633088768
speech.,acoust.,-0.0861391752413338
speech.,valence,0.09268013897084068
speech.,ntempo,0.0014460547269604202
speech.,instru.,-0.19676294787605925
speech.,nduration,0.03322639659271004
live.,dance.,-0.0551471760572478
live.,energy,0.1682332009428269
live.,speech.,0.19013552633088768
live.,live.,1.0
live.,acoust.,-0.07656986957654614
live.,valence,0.0007298946223195809
live.,ntempo,0.0022849027622042824
live.,instru.,-0.05061500941448166
live.,nduration,0.018623989403206285
acoust.,dance.,-0.3249906722266416
acoust.,energy,-0.8682737210330164
acoust.,speech.,-0.0861391752413338
acoust.,live.,-0.07656986957654614
acoust.,acoust.,1.0
acoust.,valence,-0.17820981668794203
acoust.,ntempo,-0.3977126610963579
acoust.,instru.,0.2737394792607946
acoust.,nduration,-0.01407472021964784
valence,dance.,0.652545559323649
valence,energy,0.30516619497707265
valence,speech.,0.09268013897084068
valence,live.,0.0007298946223195809
valence,acoust.,-0.17820981668794203
valence,valence,1.0
valence,ntempo,0.1395892240874903
valence,instru.,-0.42409130541681134
valence,nduration,-0.25751678831727554
ntempo,dance.,0.08286889926023638
ntempo,energy,0.43082493886150475
ntempo,speech.,0.0014460547269604202
ntempo,live.,0.0022849027622042824
ntempo,acoust.,-0.3977126610963579
ntempo,valence,0.1395892240874903
ntempo,ntempo,0.9999999999999999
ntempo,instru.,-0.20166295879840812
ntempo,nduration,-0.046840162286237885
instru.,dance.,-0.3831020083337327
instru.,energy,-0.3249395000911118
instru.,speech.,-0.19676294787605925
instru.,live.,-0.05061500941448166
instru.,acoust.,0.2737394792607946
instru.,valence,-0.42409130541681134
instru.,ntempo,-0.20166295879840812
instru.,instru.,0.9999999999999999
instru.,nduration,0.2294208296981665
nduration,dance.,-0.1606337147746844
nduration,energy,-0.04815847660831077
nduration,speech.,0.03322639659271004
nduration,live.,0.018623989403206285
nduration,acoust.,-0.01407472021964784
nduration,valence,-0.25751678831727554
nduration,ntempo,-0.046840162286237885
nduration,instru.,0.2294208296981665
nduration,nduration,0.9999999999999997
