gname,attype,value
Islamic State of Iraq and the Levant (ISIL),Armed Assault,106
Islamic State of Iraq and the Levant (ISIL),Assassination,13
Islamic State of Iraq and the Levant (ISIL),Bombing/Explosion,831
Islamic State of Iraq and the Levant (ISIL),Facility/Infrastructure Attack,16
Islamic State of Iraq and the Levant (ISIL),Hijacking,0
Islamic State of Iraq and the Levant (ISIL),Hostage Taking (Barricade Incident),4
Islamic State of Iraq and the Levant (ISIL),Hostage Taking (Kidnapping),104
Islamic State of Iraq and the Levant (ISIL),Unarmed Assault,0
Islamic State of Iraq and the Levant (ISIL),Unknown,238
Taliban,Armed Assault,264
Taliban,Assassination,58
Taliban,Bombing/Explosion,234
Taliban,Facility/Infrastructure Attack,18
Taliban,Hijacking,1
Taliban,Hostage Taking (Barricade Incident),1
Taliban,Hostage Taking (Kidnapping),74
Taliban,Unarmed Assault,1
Taliban,Unknown,240
Al-Shabaab,Armed Assault,149
Al-Shabaab,Assassination,85
Al-Shabaab,Bombing/Explosion,240
Al-Shabaab,Facility/Infrastructure Attack,13
Al-Shabaab,Hijacking,8
Al-Shabaab,Hostage Taking (Barricade Incident),3
Al-Shabaab,Hostage Taking (Kidnapping),39
Al-Shabaab,Unarmed Assault,1
Al-Shabaab,Unknown,32
New People's Army (NPA),Armed Assault,129
New People's Army (NPA),Assassination,16
New People's Army (NPA),Bombing/Explosion,68
New People's Army (NPA),Facility/Infrastructure Attack,70
New People's Army (NPA),Hijacking,4
New People's Army (NPA),Hostage Taking (Barricade Incident),11
New People's Army (NPA),Hostage Taking (Kidnapping),30
New People's Army (NPA),Unarmed Assault,1
New People's Army (NPA),Unknown,29
Boko Haram,Armed Assault,85
Boko Haram,Assassination,0
Boko Haram,Bombing/Explosion,161
Boko Haram,Facility/Infrastructure Attack,15
Boko Haram,Hijacking,0
Boko Haram,Hostage Taking (Barricade Incident),2
Boko Haram,Hostage Taking (Kidnapping),51
Boko Haram,Unarmed Assault,0
Boko Haram,Unknown,19
Maoists,Armed Assault,34
Maoists,Assassination,2
Maoists,Bombing/Explosion,87
Maoists,Facility/Infrastructure Attack,34
Maoists,Hijacking,1
Maoists,Hostage Taking (Barricade Incident),4
Maoists,Hostage Taking (Kidnapping),41
Maoists,Unarmed Assault,3
Maoists,Unknown,0
Khorasan Chapter of the Islamic State,Armed Assault,37
Khorasan Chapter of the Islamic State,Assassination,13
Khorasan Chapter of the Islamic State,Bombing/Explosion,70
Khorasan Chapter of the Islamic State,Facility/Infrastructure Attack,13
Khorasan Chapter of the Islamic State,Hijacking,1
Khorasan Chapter of the Islamic State,Hostage Taking (Barricade Incident),1
Khorasan Chapter of the Islamic State,Hostage Taking (Kidnapping),27
Khorasan Chapter of the Islamic State,Unarmed Assault,0
Khorasan Chapter of the Islamic State,Unknown,13
Kurdistan Workers' Party (PKK),Armed Assault,38
Kurdistan Workers' Party (PKK),Assassination,6
Kurdistan Workers' Party (PKK),Bombing/Explosion,86
Kurdistan Workers' Party (PKK),Facility/Infrastructure Attack,3
Kurdistan Workers' Party (PKK),Hijacking,0
Kurdistan Workers' Party (PKK),Hostage Taking (Barricade Incident),0
Kurdistan Workers' Party (PKK),Hostage Taking (Kidnapping),8
Kurdistan Workers' Party (PKK),Unarmed Assault,0
Kurdistan Workers' Party (PKK),Unknown,12
Houthi extremists (Ansar Allah),Armed Assault,10
Houthi extremists (Ansar Allah),Assassination,5
Houthi extremists (Ansar Allah),Bombing/Explosion,82
Houthi extremists (Ansar Allah),Facility/Infrastructure Attack,2
Houthi extremists (Ansar Allah),Hijacking,0
Houthi extremists (Ansar Allah),Hostage Taking (Barricade Incident),1
Houthi extremists (Ansar Allah),Hostage Taking (Kidnapping),19
Houthi extremists (Ansar Allah),Unarmed Assault,0
Houthi extremists (Ansar Allah),Unknown,34
Sinai Province of the Islamic State,Armed Assault,48
Sinai Province of the Islamic State,Assassination,3
Sinai Province of the Islamic State,Bombing/Explosion,42
Sinai Province of the Islamic State,Facility/Infrastructure Attack,5
Sinai Province of the Islamic State,Hijacking,0
Sinai Province of the Islamic State,Hostage Taking (Barricade Incident),1
Sinai Province of the Islamic State,Hostage Taking (Kidnapping),14
Sinai Province of the Islamic State,Unarmed Assault,0
Sinai Province of the Islamic State,Unknown,4
