date,Islamic State of Iraq and the Levant (ISIL),Taliban,Al-Shabaab,New People's Army (NPA),Boko Haram,Maoists,Khorasan Chapter of the Islamic State,Kurdistan Workers' Party (PKK),Houthi extremists (Ansar Allah),Sinai Province of the Islamic State
2017-01-02,163,61,42,18,25,16,22,4,10,14
2017-02-02,126,57,50,37,15,28,18,2,15,17
2017-03-02,98,53,43,43,14,10,22,9,13,17
2017-04-02,97,57,45,21,27,21,16,11,10,14
2017-05-02,178,99,58,33,21,23,13,10,7,11
2017-06-02,158,86,55,33,50,14,13,21,11,2
2017-07-02,131,104,58,42,39,8,10,24,13,5
2017-08-02,113,89,51,20,38,11,12,20,19,6
2017-09-02,71,85,46,28,33,17,12,22,14,9
2017-10-02,76,77,38,29,21,19,10,17,6,13
2017-11-02,59,57,34,28,25,22,11,6,16,5
2017-12-02,42,66,50,26,25,17,16,7,19,4
