Value,Country
100,Bad Bunny-Jhay Cortez
99,24kGoldn-iann dior
96,Cardi B-Megan Thee Stallion
95,Justin Bieber-benny blanco
94,Joel Corry-MNEK
94,Sech-Daddy Yankee-J Balvin-ROSALÍA-Farruko
93,Ritt Momney
93,Drake-Lil Durk
92,Lele Pons-Guaynaa
92,Manuel Turizo-Rauw Alejandro-Myke Towers
92,J Balvin-Tainy-Dua Lipa-Bad Bunny
92,Jay Wheeler-DJ Nelson-Myke Towers
92,Topic-A7S
91,Ozuna-J Balvin-Chencho Corleone
91,Justin Quiles
91,Maluma-Lenny Tavárez-Justin Quiles
90,Powfu-beabadoobee
90,Wisin-Myke Towers-Los Legendarios
90,Maluma-The Weeknd
89,Ariana Grande-Justin Bieber
