Month,Year,Letter,Subject,Yes Votes,No Votes,Pass or Fail,Percent,Type Measure,By,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
JUN,1980,P,Retirement System Funding,88632,67560,P,0.567,C,S,Retirement,Amortization,,,
NOV,1988,G,Contract Approval Authority,151568,60139,P,0.716,C,S,Contracts,Expenditure,,,
NOV,2000,D,Children's Fund,207749,76325,P,0.731,C,S,Children,Fund,,,
NOV,2003,L,Minimum Wage,117140,79498,P,0.596,O,I,Minimum,Wage,,,
NOV,2004,AA,BART Earthquake Safety Bond,224297,71301,P,0.759,RM,2,BART,Earthquake,Safety,,
NOV,1961,A,"$115,000,000 Municipal Water System Bonds",197566,17354,P,0.919,B,S,Water system,"Facil, imprv",Don Pedro Dam,Hetch Hetchy,
NOV,1961,B,"$1,100,000 Fort Funston Bonds",147807,56670,P,0.723,B,S,Fort Funston,"Land, acquis",Recreation,"Funston,Fort",Acquisition
NOV,1961,C,"$3,282,000 Public Welfare Bonds",127884,73546,F,0.635,B,S,Welfare,Public Welfare,"Land, acquis",Building,
NOV,1961,D,Chief Administrative Officer Appointment,154000,42884,P,0.782,C,S,CAO appt,Mayor appt,Board of Sup,CAO,Appointment
NOV,1961,E,Library Commission reduce members to 7,160298,36714,P,0.814,C,S,Library Comm.,Member 7 Lib,Commission,,
NOV,1961,F,"Health Service Commission, Administrative Costs",120492,77980,P,0.607,C,S,Health Service,Administrative,Contribution,,
NOV,1961,G,Employee Property Repair/Replace,127695,69298,P,0.648,C,S,Employees,Property,Replace prop,,Repair prop
NOV,1961,H,"Employees, Disciplinary Hearings",89069,100982,F,0.469,C,S,Employees,Suspension,Dismissal,Hearings,Civil Service
NOV,1961,I,"Fox Theater, acquisition of property and land",81100,117709,F,0.408,P,s,Fox Theater,Property Acq,Meeting facT,"heater, Fox",Acquire Prop
JUN,1962,A,"Airport Bonds $9,800,000",114592,47406,P,0.707,B,S,Airport,Garage,Parking,,
JUN,1962,B,"Public Welfare Bonds $3,545,000",89700,71024,F,0.558,B,S,Welfare,Public Welfare,Land Acquis,Construction,Building
JUN,1962,C,"Purchasing Procedure, by Ordinance",97191,56873,P,0.631,C,S,Purchaser,Procedure,Bids,Ordinance,
JUN,1962,D,Police & Fire Compensation,85513,71330,P,0.545,C,S,Police,Compensation,Fire,Pay,Salaries
NOV,1962,A,San Francisco Bay Area Rapid Transit District Bonds,163559,80967,P,0.669,B,S,BART,,,,
NOV,1962,C,Annual Salary Ordinance Amendments,145997,64642,P,0.693,C,S,Salaries,Amendments,Annual Pay,Pay,Referenda
NOV,1962,D,Pay periods for employees,147534,67521,P,0.686,C,S,Employees,Pay periods,Payments,Salaries,
NOV,1962,E,Water Department and Hetch Hetchy merger,160147,54956,P,0.745,C,S,Water Dept,Hetch Hetchy,,Merger,
NOV,1962,F,Police & Fire Disciplinary procedure,117082,99400,P,0.541,C,S,Discipline,Employees,Suspension,Appeal,Fire Discipl
NOV,1962,G,Parking Authority employees retirement,114453,97696,P,0.539,C,S,Parking Auth,Retirement,Prior Service,Authority,Employees
NOV,1962,H,"School Dist non-certified employees, civil service",136108,71856,P,0.654,C,S,School Dist,Noncertified,Civil Service,SFUSD,"Education,Bd"
NOV,1962,I,Retirement Allowance,82118,133134,F,0.381,C,S,Employees,Retirement,Earnings,Allowance,
NOV,1962,J,Police Department Assistant Inspector,130101,79755,P,0.620,C,S,Asst Inspect,Inspector,Police Dept,,
NOV,1962,K,Municipal Railway Wage Formula,82408,137941,F,0.374,C,S,Muni Railway,Municipal Rw,Wages,Formula Wage,Employees
NOV,1962,L,"Layoffs, Rehiring, permanent employees",157588,64649,P,0.709,C,S,Employees,Layoff tech,Rehiring,Technology,Automation
NOV,1963,A,Retirement Allowances,97745,101600,F,0.490,C,S,Retirement,Employees,Earnings,Disability,Allowance
NOV,1963,B,"Planning Commission, architect, mayor appointment",70512,121745,F,0.367,C,S,Planning Com,Architect,Landscape arch,Mayor,Appointment
NOV,1963,C,"Retirement Allowances, Social Security",97937,109536,F,0.472,C,S,Retirement,Reduce allow,Social Secur,Allowances,Reduce Allow
NOV,1963,D,"Retired teachers, State Retirement",70203,121676,F,0.366,C,S,Health Service,SF Ret Sys,Teachers,Retirement,State Retire
NOV,1963,E,"Employees retired before July 1, 1947",106032,87260,P,0.549,C,S,Retirement,Employees,Before Jul47,"July 1, 1947",
NOV,1963,F,Police and Fire parity pay,102237,101304,P,0.502,C,S,Police/Fire,Police pay,Fire Pay,Parity Pay,
NOV,1963,G,"Health Services, Parking Authority",112657,76361,P,0.596,C,S,Health System,Parking Auth,Membership,,
NOV,1963,H,"Boards & Commissions, members professional employment",61149,124423,F,0.330,C,S,Commissions,"Boards, C&C",Officers,Employment,Professional
NOV,1963,I,"Police Department, compensation",88390,101004,F,0.467,C,S,Sergeant,Salary,Police,Compensation,
NOV,1963,J,"Police/Fire, death benefit of retired members",120540,71466,P,0.628,C,S,Police/Fire,Retired members,Death beneft,Fire Department.,
JUN,1964,A,"Street Lighting Bonds $7,000,000",172972,30966,P,0.848,B,S,Street Light,Lighting,,,
JUN,1964,B,"Sewerage/Sewage Disposal Bonds $15,623,000",163156,36457,P,0.817,B,S,Disposal sys,Sewerage,Sewage,,
JUN,1964,C,"Civil Service, permanent employees",105068,83545,P,0.557,C,S,Transfers,Automation,Probation,Civil Service,Employees
JUN,1994,C,Equipment Lease Financing Limit,37243,71581,F,0.342,C,S,Lease,Finance,Limit,,
JUN,1964,D,"Employees, evacuated during WWII",133790,56131,P,0.704,C,S,Retirement,Evacuated,Employees,World War II,
JUN,1964,E,"Retirement/death allow., cost of living",91851,100361,F,0.478,C,S,Cost Living,Retirement,Death allow.,,
NOV,1964,A,"Log Cabin Ranch Bonds $1,300,000",196246,76014,P,0.721,B,S,Rehab school,Log Cabin,Ranch Bonds,,
NOV,1964,B,"School Bonds $31,465,000",210263,65663,P,0.762,B,S,New schools,Rehab work,Replacements,Schools,
