"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"98259","1563011","REGULAR","SUBWAY","","1229 GOSS AVE","","LOUISVILLE","KY","40217","FOOD SERVICE","2020-09-17 00:00:00","95","A","SUBWAY",""
"111195","1563014","OTHER","INTERNATIONAL GROCERY NEPALI MART","","3908 BARDSTOWN RD","","LOUISVILLE","KY","40218","PRE-PACKAGED RETAIL","2020-09-03 00:00:00","100","","INTERNATIONAL GROCERY NEPALI MART",""
"104229","1560858","REGULAR","HARRODS CREEK TAVERN","","6313 RIVER RD","","PROSPECT","KY","40059","FOOD SERVICE","2020-09-03 00:00:00","98","A","HARRODS CREEK TAVERN",""
"31053","1560860","REGULAR","KINDER CARE","","8016 SHELBYVILLE RD","","LOUISVILLE","KY","40222","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2020-09-03 00:00:00","100","A","KINDER CARE",""
"33952","1560884","REGULAR","BETTERWAY DELI - #4","","4001 CANE RUN RD","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-09-02 00:00:00","97","","BETTERWAY DELI - #4",""
"69997","1555401","REGULAR","ELF DAY CAFE","","2930 BRECKENRIDGE LN","","LOUISVILLE","KY","40220","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2020-08-03 00:00:00","100","A","ELF DAY CAFE",""
"92095","1555403","REGULAR","MANGO'S MEXICAN GRILL","","4632 HENDRIK DR","","LOUISVILLE","KY","40299","FOOD SERVICE","2020-08-03 00:00:00","99","A","MANGO'S MEXICAN GRILL",""
"79064","1559070","REGULAR","VIVID IMAGNATION CHILD CARE CENTER","","5925 SIX MILE LN","","LOUISVILLE","KY","40218","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2020-08-26 00:00:00","100","A","VIVID IMAGNATION CHILD CARE CENTER",""
"110035","1559075","REGULAR","KFC","","10103 DIXIE HWY","","LOUISVILLE","KY","40272","FOOD SERVICE","2020-08-26 00:00:00","98","A","KFC",""
"73600","1559078","REGULAR","VICTORIA'S CATERING","","5410 VALLEY STATION RD","","LOUISVILLE","KY","40272","FOOD SERVICE","2020-08-26 00:00:00","100","A","VICTORIA'S CATERING",""
"96482","1559080","REGULAR","J&C GAS STATION","","4953 MANSLICK RD","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-08-26 00:00:00","97","","J&C GAS STATION",""
"82652","1559081","REGULAR","OUTERLIMITS","","721 GAGEL AVE","","LOUISVILLE","KY","40216","FOOD SERVICE","2020-08-26 00:00:00","98","A","OUTERLIMITS",""
"104452","1559139","REGULAR","INDIAN BAZAAR","","11324 MAPLE BROOK DR","","LOUISVILLE","KY","40241","RETAIL-FOOD  10,000 SQ FT OR LESS","2020-08-26 00:00:00","94","","INDIAN BAZAAR",""
"111070","1559197","OTHER","PIZZA HUT #036960","","8131 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2020-08-11 00:00:00","98","","PIZZA HUT #036960",""
