date,WEAPON LAWS,WARRANTS,NON-CRIMINAL,ASSAULT,OTHER OFFENSES,MISSING PERSON,LARCENY/THEFT,BURGLARY,STOLEN PROPERTY,ROBBERY,FRAUD,DRUG/NARCOTIC,VEHICLE THEFT,RECOVERED VEHICLE,VANDALISM,ARSON,PROSTITUTION,SECONDARY CODES,SUSPICIOUS OCC,DRUNKENNESS,TRESPASS,"SEX OFFENSES, NON FORCIBLE","SEX OFFENSES, FORCIBLE",RUNAWAY,KIDNAPPING,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,FORGERY/COUNTERFEITING,EMBEZZLEMENT,BRIBERY,FAMILY OFFENSES,GAMBLING,SUICIDE,LIQUOR LAWS,EXTORTION,LOITERING,TREA,BAD CHECKS,PORNOGRAPHY/OBSCENE MAT
2016-01-01,7,19,85,61,65,14,118,18,6,11,11,15,20,2,28,1,0,7,32,6,6,0,9,1,0,1,4,2,8,0,0,0,0,0,1,0,0,0,0
2016-01-02,3,14,42,27,46,10,116,21,3,7,9,10,16,3,24,4,0,8,15,1,4,0,3,1,0,2,1,3,1,0,0,0,0,0,1,0,0,0,0
2016-01-03,6,13,47,33,48,6,65,10,6,7,3,17,19,2,13,1,0,3,6,2,3,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-04,4,17,50,26,46,15,89,16,2,10,8,6,15,0,17,3,0,7,22,0,4,0,1,0,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0
2016-01-05,2,18,39,39,59,22,91,13,4,6,10,7,19,4,12,1,2,5,14,2,4,0,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
2016-01-06,0,12,34,25,45,9,118,15,2,4,6,15,14,3,24,0,0,7,15,2,4,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
2016-01-07,4,16,61,47,52,14,105,22,4,7,8,16,18,2,15,1,0,3,16,1,1,0,3,0,1,0,1,5,2,0,0,0,0,3,0,0,0,1,0
2016-01-08,5,10,53,38,55,12,131,24,1,8,4,14,16,1,27,0,4,9,13,1,6,0,1,0,2,2,2,1,1,0,0,0,0,0,2,0,0,1,0
2016-01-09,4,26,43,30,60,4,105,10,2,11,14,11,13,2,23,0,1,9,12,1,6,1,6,2,1,3,1,3,1,0,0,0,0,0,0,0,0,2,0
2016-01-10,1,17,41,36,55,6,108,21,1,7,7,14,17,0,31,1,0,6,10,3,2,0,8,0,3,1,0,1,4,0,0,0,0,0,0,1,0,0,0
2016-01-11,2,15,44,32,46,3,96,9,0,7,6,11,24,6,13,1,0,2,27,1,9,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
2016-01-12,2,16,46,42,59,8,90,15,2,11,8,15,32,2,18,1,4,8,13,1,2,0,4,1,2,5,0,1,0,0,0,0,0,0,1,0,0,0,0
2016-01-13,0,27,41,32,67,8,117,15,2,8,8,13,24,2,19,2,0,5,14,0,8,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0
2016-01-14,4,21,49,38,46,9,108,17,0,10,11,8,15,4,13,1,0,7,8,1,5,0,3,0,0,4,2,7,2,0,0,0,0,1,1,0,0,0,0
2016-01-15,3,14,60,37,49,15,113,25,0,10,10,9,22,3,24,1,1,5,18,1,5,0,6,0,0,0,2,2,1,0,0,0,1,2,1,0,0,0,0
2016-01-16,4,19,60,39,50,10,138,10,4,13,14,6,20,1,24,1,0,2,16,1,2,0,2,0,1,2,1,4,1,0,0,0,1,0,0,0,0,0,0
2016-01-17,2,12,39,33,44,10,115,19,3,10,12,4,20,3,28,0,0,7,14,2,2,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2016-01-18,4,14,42,29,37,12,107,17,2,11,10,15,18,1,25,0,2,7,11,0,5,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-19,1,18,40,25,49,11,115,19,4,8,9,16,21,1,13,1,1,8,11,0,5,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-20,6,15,52,36,72,10,127,27,1,12,15,6,15,1,26,2,6,5,10,0,5,0,6,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
2016-01-21,9,21,49,34,52,20,115,19,2,9,11,26,25,3,21,1,0,4,16,2,5,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2016-01-22,0,28,40,34,59,18,136,20,8,4,8,6,20,5,29,1,0,2,18,3,7,0,2,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0
2016-01-23,2,22,50,50,71,12,127,17,4,14,6,8,12,4,26,0,28,3,13,4,4,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
2016-01-24,3,18,40,35,57,8,114,12,6,13,6,15,15,2,15,0,0,4,21,3,4,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2016-01-25,2,20,45,38,53,10,96,15,5,9,7,12,15,5,21,0,3,5,19,0,7,0,5,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0
2016-01-26,6,17,44,33,66,15,123,10,3,7,10,19,17,4,26,1,2,7,11,0,7,0,0,1,0,5,1,3,1,0,0,1,0,0,0,2,0,0,0
2016-01-27,4,15,36,53,63,12,119,23,1,11,5,9,15,2,23,0,3,9,18,2,5,0,6,0,1,2,2,6,0,0,0,0,0,1,0,0,0,0,0
2016-01-28,4,21,44,25,62,5,117,23,1,3,9,9,14,3,18,0,3,3,18,3,2,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016-01-29,7,13,56,45,75,20,136,20,4,5,10,12,21,2,22,0,38,4,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-01-30,3,18,52,56,42,23,109,12,3,6,5,11,16,3,30,0,2,2,14,0,2,0,3,0,0,0,2,4,0,0,0,0,1,2,0,0,0,0,0
2016-01-31,2,17,70,30,56,15,101,9,0,7,5,5,16,2,20,0,6,3,21,1,7,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
2016-02-01,3,24,50,51,86,15,108,16,4,9,11,12,23,0,21,3,5,10,24,0,3,0,2,1,3,1,0,1,4,1,0,0,0,0,1,0,0,0,0
2016-02-02,4,21,51,28,61,4,109,19,1,7,12,16,21,1,11,1,0,3,23,1,3,0,1,1,0,2,0,6,0,0,0,0,1,0,0,1,0,1,0
2016-02-03,7,19,50,40,61,6,101,21,2,8,7,19,14,0,16,3,6,4,18,1,6,0,3,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,7,20,65,30,73,13,115,17,2,12,4,18,16,2,9,1,47,4,20,1,5,0,3,1,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0
2016-02-05,5,12,68,29,58,22,133,25,2,5,9,11,27,1,22,1,2,6,16,3,3,0,2,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0
2016-02-06,1,10,68,42,37,16,139,19,2,11,9,7,20,1,33,0,3,3,9,4,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2016-02-07,8,19,52,58,55,10,128,11,1,12,5,8,20,2,34,1,2,8,15,3,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2016-02-08,8,13,50,43,64,9,106,15,5,12,5,8,18,5,28,0,1,5,12,0,1,0,0,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0
2016-02-09,2,20,50,34,61,22,106,16,2,7,6,16,14,1,26,0,0,7,18,0,3,0,2,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0
2016-02-10,7,13,56,34,66,14,105,15,4,5,7,19,12,4,22,2,0,4,16,1,7,0,2,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0
2016-02-11,4,20,56,30,44,11,98,15,4,11,2,25,13,4,17,0,1,7,17,0,5,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,2,17,49,30,59,18,118,19,2,10,7,18,14,3,20,2,0,4,11,1,7,0,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
