key,value,date
A,111,1/1/00
A,126,1/2/01
A,209,1/3/02
A,131,1/4/03
A,114,1/5/04
A,131,1/6/05
A,118,1/7/06
A,120,1/8/07
A,169,1/9/08
A,160,1/10/09
A,198,1/11/10
A,179,1/12/11
A,197,1/13/12
A,254,1/14/13
A,229,1/15/14
A,253,1/16/15
A,230,1/17/16
A,227,1/18/17
A,266,1/19/18
A,239,1/20/19
A,400,1/21/20
A,165,1/22/21
A#/Bb,66,1/1/00
A#/Bb,64,1/2/01
A#/Bb,136,1/3/02
A#/Bb,82,1/4/03
A#/Bb,73,1/5/04
A#/Bb,93,1/6/05
A#/Bb,89,1/7/06
A#/Bb,73,1/8/07
A#/Bb,83,1/9/08
A#/Bb,121,1/10/09
A#/Bb,144,1/11/10
A#/Bb,105,1/12/11
A#/Bb,120,1/13/12
A#/Bb,150,1/14/13
A#/Bb,165,1/15/14
A#/Bb,131,1/16/15
A#/Bb,176,1/17/16
A#/Bb,161,1/18/17
A#/Bb,205,1/19/18
A#/Bb,154,1/20/19
A#/Bb,296,1/21/20
A#/Bb,116,1/22/21
B,85,1/1/00
B,71,1/2/01
B,134,1/3/02
B,102,1/4/03
B,86,1/5/04
B,97,1/6/05
B,97,1/7/06
B,117,1/8/07
B,115,1/9/08
B,125,1/10/09
B,170,1/11/10
B,152,1/12/11
B,152,1/13/12
B,234,1/14/13
B,209,1/15/14
B,180,1/16/15
B,211,1/17/16
B,169,1/18/17
B,222,1/19/18
B,203,1/20/19
B,361,1/21/20
B,146,1/22/21
C,150,1/1/00
C,92,1/2/01
C,227,1/3/02
C,127,1/4/03
C,128,1/5/04
C,152,1/6/05
C,152,1/7/06
C,138,1/8/07
C,219,1/9/08
C,186,1/10/09
C,222,1/11/10
C,201,1/12/11
C,210,1/13/12
C,272,1/14/13
C,256,1/15/14
C,267,1/16/15
C,272,1/17/16
C,247,1/18/17
C,270,1/19/18
C,249,1/20/19
C,518,1/21/20
C,196,1/22/21
C#/Db,104,1/1/00
C#/Db,66,1/2/01
C#/Db,194,1/3/02
C#/Db,125,1/4/03
C#/Db,105,1/5/04
C#/Db,133,1/6/05
C#/Db,125,1/7/06
C#/Db,147,1/8/07
C#/Db,141,1/9/08
C#/Db,152,1/10/09
C#/Db,223,1/11/10
C#/Db,161,1/12/11
C#/Db,211,1/13/12
C#/Db,292,1/14/13
C#/Db,255,1/15/14
C#/Db,220,1/16/15
C#/Db,243,1/17/16
C#/Db,254,1/18/17
C#/Db,310,1/19/18
C#/Db,248,1/20/19
C#/Db,469,1/21/20
C#/Db,193,1/22/21
D,123,1/1/00
D,126,1/2/01
D,218,1/3/02
D,137,1/4/03
D,108,1/5/04
D,150,1/6/05
D,163,1/7/06
D,144,1/8/07
D,200,1/9/08
D,143,1/10/09
D,190,1/11/10
D,200,1/12/11
D,202,1/13/12
D,279,1/14/13
D,227,1/15/14
D,250,1/16/15
D,193,1/17/16
D,200,1/18/17
D,239,1/19/18
D,230,1/20/19
D,374,1/21/20
D,169,1/22/21
D#/Eb,31,1/1/00
D#/Eb,28,1/2/01
D#/Eb,59,1/3/02
D#/Eb,44,1/4/03
D#/Eb,37,1/5/04
D#/Eb,40,1/6/05
D#/Eb,44,1/7/06
D#/Eb,42,1/8/07
D#/Eb,55,1/9/08
D#/Eb,46,1/10/09
D#/Eb,42,1/11/10
D#/Eb,54,1/12/11
D#/Eb,76,1/13/12
D#/Eb,64,1/14/13
D#/Eb,63,1/15/14
D#/Eb,58,1/16/15
D#/Eb,57,1/17/16
D#/Eb,60,1/18/17
D#/Eb,82,1/19/18
D#/Eb,60,1/20/19
D#/Eb,93,1/21/20
D#/Eb,67,1/22/21
E,89,1/1/00
E,78,1/2/01
E,171,1/3/02
E,108,1/4/03
E,86,1/5/04
E,106,1/6/05
E,113,1/7/06
E,118,1/8/07
E,135,1/9/08
E,120,1/10/09
E,164,1/11/10
E,155,1/12/11
E,142,1/13/12
E,196,1/14/13
E,162,1/15/14
E,207,1/16/15
E,199,1/17/16
E,144,1/18/17
E,202,1/19/18
E,172,1/20/19
E,324,1/21/20
E,144,1/22/21
F,94,1/1/00
F,79,1/2/01
F,194,1/3/02
F,83,1/4/03
F,68,1/5/04
F,99,1/6/05
F,135,1/7/06
F,93,1/8/07
F,157,1/9/08
F,123,1/10/09
F,145,1/11/10
F,144,1/12/11
F,136,1/13/12
F,181,1/14/13
F,182,1/15/14
F,181,1/16/15
F,175,1/17/16
F,150,1/18/17
F,201,1/19/18
F,194,1/20/19
F,349,1/21/20
F,161,1/22/21
F#/Gb,83,1/1/00
F#/Gb,66,1/2/01
F#/Gb,117,1/3/02
F#/Gb,98,1/4/03
F#/Gb,68,1/5/04
F#/Gb,74,1/6/05
F#/Gb,73,1/7/06
F#/Gb,87,1/8/07
F#/Gb,106,1/9/08
F#/Gb,99,1/10/09
F#/Gb,130,1/11/10
F#/Gb,129,1/12/11
F#/Gb,148,1/13/12
F#/Gb,208,1/14/13
F#/Gb,162,1/15/14
F#/Gb,165,1/16/15
F#/Gb,156,1/17/16
F#/Gb,164,1/18/17
F#/Gb,205,1/19/18
F#/Gb,169,1/20/19
F#/Gb,344,1/21/20
F#/Gb,131,1/22/21
G,159,1/1/00
G,121,1/2/01
G,238,1/3/02
G,150,1/4/03
G,118,1/5/04
G,144,1/6/05
G,166,1/7/06
G,146,1/8/07
G,220,1/9/08
G,184,1/10/09
G,218,1/11/10
G,237,1/12/11
G,230,1/13/12
G,351,1/14/13
G,208,1/15/14
G,273,1/16/15
G,287,1/17/16
G,230,1/18/17
G,331,1/19/18
G,269,1/20/19
G,468,1/21/20
G,210,1/22/21
G#/Ab,71,1/1/00
G#/Ab,64,1/2/01
G#/Ab,158,1/3/02
G#/Ab,77,1/4/03
G#/Ab,71,1/5/04
G#/Ab,100,1/6/05
G#/Ab,84,1/7/06
G#/Ab,109,1/8/07
G#/Ab,81,1/9/08
G#/Ab,102,1/10/09
G#/Ab,115,1/11/10
G#/Ab,96,1/12/11
G#/Ab,135,1/13/12
G#/Ab,141,1/14/13
G#/Ab,134,1/15/14
G#/Ab,115,1/16/15
G#/Ab,151,1/17/16
G#/Ab,150,1/18/17
G#/Ab,181,1/19/18
G#/Ab,142,1/20/19
G#/Ab,298,1/21/20
G#/Ab,142,1/22/21
