id,date,longitude,latitude,magnitude,mag_key,value
0,1996,119.931,0.729,6.0,6,0
1,1996,100.276,27.291,9.0,9,17379.0
2,1996,-79.587,-9.593,4.0,4,0
3,1996,-78.737,-1.036,6.0,6,27.0
4,1996,109.661,40.774,8.0,8,353.0
5,1996,-177.632,51.564,6.0,6,0
6,1996,17.936,42.803,8.0,8,0
7,1996,-75.675,-14.993,8.0,8,574.0
8,1997,74.284,41.026,7.0,7,0
9,1997,19.672,40.956,6.0,6,0
10,1997,57.291,37.661,8.0,8,2036.0
11,1997,48.05,38.075,7.0,7,3700.0
12,1997,130.429,31.92,6.0,6,0
13,1997,144.901,13.986,7.0,7,4.0
14,1997,59.809,33.825,10.0,10,4028.0
15,1997,80.041,23.083,8.0,8,1056.0
16,1997,-63.486,10.598,5.0,5,603.0
17,1997,12.879,43.048,8.0,8,0
18,1997,12.812,43.084,10.0,10,114.0
19,1997,162.035,54.841,7.0,7,0
20,1998,114.5,41.083,8.0,8,11570.0
21,1998,13.652,46.245,8.0,8,1.0
22,1998,35.307,36.878,8.0,8,1645.0
23,1998,120.736,23.407,5.0,5,32.0
24,1998,20.08,44.209,8.0,8,18.0
25,1998,124.891,-2.071,7.0,7,148.0
26,1999,46.954,42.962,3.0,3,0
27,1999,-1.566,38.193,7.0,7,20.0
28,1999,79.403,30.512,8.0,8,494.0
29,1999,-72.662,-16.66,6.0,6,51.0
30,1999,47.448,40.802,5.0,5,19.0
31,1999,29.97,40.76,10.0,10,67118.0
32,1999,23.605,38.119,9.0,9,1743.0
33,1999,120.982,23.772,10.0,10,10997.0
34,1999,-96.931,16.059,8.0,8,250.0
35,1999,-116.271,34.594,7.0,7,4.0
36,1999,120.506,23.445,6.0,6,255.0
37,1999,31.161,40.758,9.0,9,5842.0
38,1999,119.74,15.766,7.0,7,45.0
39,1999,-1.281,35.321,7.0,7,199.0
40,2000,102.087,-4.721,6.0,6,2277.0
41,2000,32.992,40.693,7.0,7,82.0
42,2000,142.246,48.786,6.0,6,8.0
43,2000,-122.413,38.379,7.0,7,41.0
44,2000,133.134,35.456,9.0,9,130.0
45,2000,31.351,38.457,7.0,7,47.0
46,2001,-88.66,13.049,8.0,8,5567.0
47,2001,70.232,23.419,10.0,10,186841.0
48,2001,-88.938,13.671,6.0,6,3714.0
49,2001,-122.727,47.149,8.0,8,401.0
50,2001,132.526,34.083,9.0,9,163.0
51,2001,-73.641,-16.265,8.0,8,2790.0
52,2001,-118.387,34.059,6.0,6,0
53,2001,144.98,12.686,8.0,8,1.0
54,2001,90.376,23.632,6.0,6,100.0
55,2002,-73.699,44.513,7.0,7,0
56,2002,144.619,13.088,7.0,7,5.0
57,2002,49.047,35.626,8.0,8,1561.0
58,2002,-82.793,7.929,7.0,7,11.0
59,2002,-2.15,52.52,6.0,6,1.0
60,2002,-147.912,63.514,8.0,8,0
61,2002,15.267,37.67,8.0,8,9.0
62,2002,-147.444,63.517,9.0,9,1.0
63,2003,-104.104,18.77,8.0,8,329.0
64,2003,118.524,-8.807,6.0,6,2.0
65,2003,11.96,43.883,7.0,7,0
66,2003,123.921,12.171,6.0,6,0
67,2003,124.079,12.168,6.0,6,0
68,2003,-116.848,34.31,6.0,6,0
69,2003,-85.629,34.494,6.0,6,0
70,2003,3.634,36.964,10.0,10,12527.0
71,2003,-88.98,36.87,6.0,6,0
72,2003,-71.637,-30.608,6.0,6,1.0
73,2003,11.45,44.329,7.0,7,0
74,2003,-70.673,19.777,10.0,10,18.0
75,2003,87.813,50.038,10.0,10,8.0
76,2003,125.416,12.025,7.0,7,22.0
77,2003,-121.102,35.706,8.0,8,42.0
78,2003,58.311,28.995,9.0,9,61000.0
79,2004,115.788,-8.31,6.0,6,30.0
80,2004,-3.997,35.142,9.0,9,1554.0
81,2004,-73.406,-37.695,6.0,6,0
82,2004,124.038,9.926,6.0,6,0
83,2004,-73.155,-38.854,6.0,6,0
84,2004,19.912,54.841,6.0,6,3.0
85,2004,-120.364,35.819,6.0,6,0
86,2004,135.404,-3.609,8.0,8,162.0
87,2004,8.077,48.115,5.0,5,0
88,2005,99.607,-1.644,5.0,5,0
89,2005,-125.97,41.301,4.0,4,0
90,2005,-112.615,45.365,6.0,6,0
91,2005,74.118,17.398,7.0,7,0
92,2005,78.56,30.924,6.0,6,0
93,2005,73.773,17.067,6.0,6,0
94,2005,73.588,34.539,8.0,8,222812.0
95,2005,-77.745,-0.507,6.0,6,0
96,2006,-174.123,-20.187,7.0,7,1.0
97,2006,-68.707,-33.131,5.0,5,0
98,2006,-172.033,-16.592,4.0,4,0
99,2006,-155.935,19.878,8.0,8,0
100,2006,-76.677,-13.457,4.0,4,0
101,2007,100.498,-0.493,8.0,8,893.0
102,2007,20.42,38.34,6.0,6,0
103,2007,-100.198,17.302,5.0,5,0
104,2007,-72.648,-45.243,7.0,7,2.0
105,2007,1.009,51.085,6.0,6,1.0
106,2007,-112.13,45.394,5.0,5,0
107,2007,-76.603,-13.386,8.0,8,1604.0
108,2007,-69.89,-22.247,8.0,8,67.0
109,2007,178.291,-39.011,7.0,7,1.0
110,2008,-114.867,41.153,8.0,8,3.0
111,2008,103.322,31.002,9.0,9,461823.0
112,2008,-117.761,33.953,6.0,6,8.0
113,2008,83.52,30.901,8.0,8,0
114,2008,104.158,51.607,8.0,8,0
115,2009,25.471,34.164,2.0,2,0
116,2009,-78.966,9.59,5.0,5,32.0
117,2010,-72.898,-36.122,9.0,9,12402.0
118,2010,91.936,7.881,6.0,6,0
119,2010,136.543,-2.174,6.0,6,17.0
120,2010,-75.48,45.88,6.0,6,0
121,2010,123.467,6.486,4.0,4,0
122,2010,168.069,-17.541,7.0,7,0
123,2010,171.83,-43.522,9.0,9,2.0
124,2010,172.388,-43.57,5.0,5,0
125,2010,176.818,-40.433,6.0,6,0
126,2010,172.69,-43.598,7.0,7,0
127,2010,90.648,23.407,5.0,5,0
128,2010,20.673,43.76,6.0,6,102.0
129,2011,168.226,-20.244,2.0,2,0
130,2011,-104.701,37.063,7.0,7,0
131,2011,-77.933,37.936,7.0,7,0
132,2011,-96.765,35.532,8.0,8,2.0
133,2012,-98.231,16.493,8.0,8,15.0
134,2012,22.968,42.645,7.0,7,0
135,2013,165.114,-10.799,8.0,8,0
136,2013,75.95,33.297,3.0,3,2.0
137,2013,174.027,-41.731,6.0,6,0
138,2013,-99.498,16.878,8.0,8,1.0
139,2013,-92.121,14.606,7.0,7,12.0
140,2013,65.501,26.951,4.0,4,1444.0
141,2013,-74.87,-16.15,6.0,6,0
142,2013,23.252,35.514,7.0,7,1.0
143,2013,124.117,9.88,7.0,7,1198.0
144,2013,95.971,5.103,5.0,5,3.0
145,2013,144.6,37.2,4.0,4,1.0
146,2013,68.89,38.41,4.0,4,0
147,2013,51.313,29.275,4.0,4,208.0
148,2014,-76.644,4.557,5.0,5,0
149,2014,-66.81,19.043,5.0,5,0
150,2014,175.814,-40.66,7.0,7,0
151,2014,109.265,-7.986,5.0,5,0
152,2014,20.453,38.208,7.0,7,6.0
153,2014,20.379,38.244,3.0,3,16.0
154,2014,-97.271,35.937,4.0,4,0
155,2014,131.825,33.684,5.0,5,18.0
156,2014,-70.814,-19.965,6.0,6,0
157,2014,-117.835,33.863,6.0,6,0
