artists,popularity,song,energy,liveliness,explicit,danceability,instrumentalness,speechiness
"Bad Bunny, Jhay Cortez",100,Dakiti,0.573,0.113,1,0.731,5.22E-05,0.0544
"24kGoldn, iann dior",99,Mood (feat. iann dior),0.722,0.272,1,0.7,0,0.0369
"Cardi B, Megan Thee Stallion",96,WAP (feat. Megan Thee Stallion),0.454,0.0824,1,0.935,0,0.375
"Justin Bieber, benny blanco",95,Lonely (with benny blanco),0.239,0.116,1,0.631,0,0.0398
"Joel Corry, MNEK",94,Head & Heart (feat. MNEK),0.874,0.0489,0,0.734,1.14E-05,0.0662
"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",94,Relación - Remix,0.771,0.284,0,0.793,1.51E-06,0.0959
"Ritt Momney",93,Put Your Records On,0.491,0.11,0,0.399,0.00089,0.0538
"Drake, Lil Durk",93,Laugh Now Cry Later (feat. Lil Durk),0.518,0.107,1,0.761,3.47E-05,0.134
"Lele Pons, Guaynaa",92,Se Te Nota (with Guaynaa),0.686,0.266,0,0.905,0,0.0664
"Manuel Turizo, Rauw Alejandro, Myke Towers",92,La Nota,0.632,0.349,0,0.736,0,0.0648
"J Balvin, Tainy, Dua Lipa, Bad Bunny",92,UN DIA (ONE DAY) (Feat. Tainy),0.693,0.173,0,0.571,0,0.0545
"Jay Wheeler, DJ Nelson, Myke Towers",92,La Curiosidad,0.677,0.108,0,0.845,0.000917,0.136
"Topic, A7S",92,Breaking Me,0.72,0.129,0,0.789,0,0.218
"Ozuna, J Balvin, Chencho Corleone",91,Una Locura,0.761,0.241,0,0.714,0.00035,0.0427
"Justin Quiles",91,Jeans,0.656,0.0693,1,0.807,0,0.105
