groups,variables,r
dance.,dance.,1.0
dance.,energy,0.5382920179247498
dance.,speech.,0.2666288727382278
dance.,live.,-0.38465309655310853
dance.,acoust.,-0.5693333047478173
dance.,valence,0.24271682515441717
dance.,ntempo,0.6035433918605839
dance.,instru.,-0.476947168559951
dance.,ndur.,-0.12647441183681976
energy,dance.,0.5382920179247498
energy,energy,1.0
energy,speech.,-0.42085430050847406
energy,live.,-0.5005402451111509
energy,acoust.,-0.9669413450196785
energy,valence,0.09257617963499962
energy,ntempo,0.9029434622909884
energy,instru.,-0.8447610210711536
energy,ndur.,0.5756641936756943
speech.,dance.,0.2666288727382278
speech.,energy,-0.42085430050847406
speech.,speech.,1.0
speech.,live.,0.3329202932630916
speech.,acoust.,0.2721470631794934
speech.,valence,-0.05910780594003458
speech.,ntempo,-0.39170193488634186
speech.,instru.,0.2739367896680207
speech.,ndur.,-0.5442055894364115
live.,dance.,-0.38465309655310853
live.,energy,-0.5005402451111509
live.,speech.,0.3329202932630916
live.,live.,0.9999999999999999
live.,acoust.,0.5127427189849547
live.,valence,0.2668664292570857
live.,ntempo,-0.4348896953132266
live.,instru.,0.48935715806532704
live.,ndur.,-0.22806364678367844
acoust.,dance.,-0.5693333047478173
acoust.,energy,-0.9669413450196785
acoust.,speech.,0.2721470631794934
acoust.,live.,0.5127427189849547
acoust.,acoust.,1.0
acoust.,valence,-0.037673719591464996
acoust.,ntempo,-0.860515582634101
acoust.,instru.,0.8751569243980796
acoust.,ndur.,-0.5548534683612613
valence,dance.,0.24271682515441717
valence,energy,0.09257617963499962
valence,speech.,-0.05910780594003458
valence,live.,0.2668664292570857
valence,acoust.,-0.037673719591464996
valence,valence,1.0
valence,ntempo,0.30418748284271124
valence,instru.,-0.05167736295569082
valence,ndur.,-0.05077056866811126
ntempo,dance.,0.6035433918605839
ntempo,energy,0.9029434622909884
ntempo,speech.,-0.39170193488634186
ntempo,live.,-0.4348896953132266
ntempo,acoust.,-0.860515582634101
ntempo,valence,0.30418748284271124
ntempo,ntempo,1.0
ntempo,instru.,-0.7933707860846219
ntempo,ndur.,0.43750898024069074
instru.,dance.,-0.476947168559951
instru.,energy,-0.8447610210711536
instru.,speech.,0.2739367896680207
instru.,live.,0.48935715806532704
instru.,acoust.,0.8751569243980796
instru.,valence,-0.05167736295569082
instru.,ntempo,-0.7933707860846219
instru.,instru.,1.0
instru.,ndur.,-0.4252678068802845
ndur.,dance.,-0.12647441183681976
ndur.,energy,0.5756641936756943
ndur.,speech.,-0.5442055894364115
ndur.,live.,-0.22806364678367844
ndur.,acoust.,-0.5548534683612613
ndur.,valence,-0.05077056866811126
ndur.,ntempo,0.43750898024069074
ndur.,instru.,-0.4252678068802845
ndur.,ndur.,1.0
