year,acousticness,danceability,energy,liveness,valence
1920,0.6312422636,0.5157501433,0.4186995702,0.2160492837,0.4982100287
1921,0.8621051282,0.4321705128,0.2411363462,0.2052185897,0.378275641
1922,0.8289338843,0.5756198347,0.2261726446,0.2566619835,0.5711900826
1923,0.9572467914,0.5773405405,0.2624064865,0.2274621622,0.6254924324
1924,0.9401998602,0.5498940678,0.3443466102,0.2352190678,0.6637254237
1925,0.9627016487,0.574874552,0.2780860215,0.23720681,0.6211870968
1926,0.6663868849,0.5969149737,0.2105064259,0.2320212942,0.4370937622
1927,0.91582582,0.6559293333,0.2679021333,0.1773865333,0.6696757333
1928,0.9391407145,0.5349066667,0.2088558196,0.1746573333,0.4974123137
1929,0.601014837,0.6478398528,0.2419077813,0.2359770768,0.636804837
1930,0.9356248884,0.5197101803,0.3348598409,0.2206348356,0.6160890774
1931,0.833182438,0.5948927686,0.2347364494,0.227246281,0.5128472107
1932,0.7733629156,0.6022140665,0.2783622762,0.2187544757,0.5988533248
1933,0.8908802496,0.5700692308,0.2867542735,0.2097210826,0.5986485755
1934,0.8885137072,0.5291683849,0.2635702749,0.2127268041,0.5588060137
1935,0.7794678283,0.5549970532,0.2466229148,0.2296258168,0.5445181935
1936,0.6019832633,0.62337805,0.264007675,0.21355615,0.5612938
1937,0.8655405613,0.5426403933,0.3105124508,0.2253400908,0.5850388805
1938,0.9136303531,0.4805104502,0.2812483923,0.2360196141,0.5146599839
1939,0.90901231,0.5136558,0.2848278,0.2408573,0.5612247
1940,0.8465204782,0.5254509875,0.3122784252,0.2624801975,0.6221963825
1941,0.8946919855,0.4810745605,0.2654865253,0.2015985522,0.4806512927
1942,0.8536987646,0.4650137197,0.2554481195,0.2124112951,0.4781145476
1943,0.9030772356,0.4550971989,0.2798906583,0.2398495798,0.4953791317
1944,0.9082415045,0.5025696498,0.2526620882,0.2368885863,0.5419750973
1945,0.711386013,0.51785615,0.2254125705,0.2033342,0.4914163
1946,0.9206274223,0.4151410817,0.2223607365,0.2105031646,0.4007510932
1947,0.9156553833,0.47210391,0.2629551777,0.2234450237,0.5091807464
1948,0.92294915,0.46273625,0.241483549,0.21879865,0.46221065
1949,0.907087795,0.4440309,0.247214015,0.2095805,0.4343336
1950,0.8228144006,0.52903705,0.30353605,0.2249315,0.5570354
1951,0.9003344356,0.4614231,0.25727004,0.2195399,0.44362545
1952,0.8755217395,0.4560212,0.25561511,0.23385555,0.442967062
1953,0.8917467415,0.4408337,0.26741821,0.2214424,0.432251
1954,0.8674129973,0.46037125,0.263561035,0.2160078,0.44729115
1955,0.849154458,0.4863891,0.288376595,0.22401235,0.46935495
1956,0.82345549,0.48929605,0.30269521,0.1840064,0.50862275
1957,0.7937751,0.5036534,0.293809755,0.1862876,0.5109486
1958,0.777446745,0.47813155,0.30886768,0.20264585,0.49033495
1959,0.78490922,0.47976285,0.31221019,0.1925164,0.4782571
1960,0.768254423,0.4820517,0.3393798,0.2077554,0.51902625
1961,0.758147075,0.48771475,0.336076674,0.20764335,0.5073553
1962,0.7259418515,0.4907444,0.36607358,0.2017907,0.5415934
1963,0.71813448,0.48409315,0.373427685,0.20455155,0.53991905
1964,0.6950623058,0.5018954523,0.3968526387,0.2155891054,0.5572052974
1965,0.6131359503,0.5007655844,0.4439932018,0.2138795205,0.579821029
1966,0.5264009007,0.5047228059,0.4801731839,0.2167402947,0.5776956438
1967,0.5423322508,0.4891990015,0.4413662656,0.1913777334,0.5455145282
1968,0.4929572127,0.4973220741,0.4568873778,0.2150846914,0.5630099259
1969,0.4460890554,0.4861697721,0.4903788206,0.2080336472,0.5552239693
1970,0.4570200491,0.5052280615,0.4948168071,0.21163059,0.5727270699
1971,0.4596606169,0.5019534321,0.494309042,0.212416,0.5705116049
1972,0.4598840767,0.5211926514,0.502628282,0.2061213505,0.5936718471
1973,0.4172574755,0.5127625375,0.5353908092,0.1981346653,0.5881032468
1974,0.4491533621,0.51836941,0.5151857957,0.2144430838,0.5824325235
1975,0.4300696424,0.5226744186,0.5235905938,0.2133311232,0.5716751113
1976,0.3701217817,0.5285758964,0.5476755976,0.2466480578,0.5766630478
1977,0.3431440455,0.5335206897,0.5545842169,0.226251924,0.5827722139
1978,0.3410639426,0.5389968703,0.5526574069,0.2175235469,0.5834242921
1979,0.3014700923,0.5635958,0.586696375,0.2101602,0.6115307
1980,0.2931934487,0.5543614216,0.5945241961,0.2040417647,0.5956661275
1981,0.3058011381,0.5424464768,0.5972255947,0.2254276362,0.5835790605
1982,0.2968374443,0.5600552841,0.58426649,0.1988781655,0.581505683
1983,0.3096167524,0.5447401398,0.5908433849,0.1982183724,0.5689900649
1984,0.2940501436,0.5310491754,0.5823149575,0.1919034483,0.5505485307
1985,0.3097406704,0.555073144,0.5953022671,0.1968498754,0.564201993
1986,0.2911183462,0.5401839721,0.6110060229,0.2112076655,0.5488968143
1987,0.3357683852,0.5368667832,0.5615285015,0.197643007,0.534042957
1988,0.324389742,0.5381256116,0.5851814129,0.2103376435,0.5463433949
1989,0.3179189858,0.5447028971,0.5781520529,0.1982288212,0.54363002
1990,0.3430753495,0.533510259,0.5657791633,0.1888367032,0.5257967131
1991,0.3453804541,0.5555509194,0.5542013909,0.1883468647,0.5599732673
1992,0.3343240367,0.5551345618,0.5748604034,0.1968737052,0.5587181773
1993,0.3202810248,0.5697258193,0.5500387736,0.1921856008,0.5555585402
1994,0.3210457252,0.5497064884,0.5678848588,0.1911326399,0.524013373
1995,0.3170510066,0.5598483258,0.5678576362,0.1987610695,0.5298185907
1996,0.3095110249,0.5877860465,0.579875433,0.1998732311,0.5607850074
1997,0.3127344483,0.574223335,0.596707119,0.2019142575,0.5453560927
1998,0.3010008008,0.5806880039,0.5992130236,0.1952516224,0.5292852016
1999,0.2863127266,0.5815058313,0.6280656757,0.2059028916,0.5530626506
2000,0.297568105,0.5954513722,0.620402777,0.2162056604,0.5580119211
2001,0.2678724836,0.5918076453,0.6432772069,0.1913148828,0.5579819674
2002,0.2963508363,0.5695844282,0.6301173294,0.1997792701,0.5349131873
2003,0.2847848284,0.5749298259,0.6500365744,0.2110576741,0.5318592563
2004,0.2491208764,0.570556403,0.672270339,0.2148966102,0.5318548023
2005,0.2536427739,0.5569814253,0.6621512767,0.216748044,0.5233799848
2006,0.2813178898,0.5443527594,0.6571996247,0.2071178808,0.518242752
2007,0.2189421491,0.5573230135,0.6903991829,0.2127098951,0.5168212144
2008,0.2855523682,0.5539464604,0.6718591402,0.2330618679,0.5564787567
2009,0.2514905089,0.5660006406,0.694245426,0.2150809737,0.5380169122
2010,0.2087165341,0.5996195818,0.6573552575,0.2112652728,0.5233964049
2011,0.239499896,0.576939658,0.6577644247,0.1996912852,0.4709559349
2012,0.2135207494,0.5588412455,0.6870636907,0.2208663604,0.4655762226
2013,0.1896315638,0.5938806636,0.6925949116,0.2150431732,0.4333096873
2014,0.2267618699,0.5861530639,0.6647777188,0.222449778,0.4386810835
2015,0.2916399533,0.560455,0.5912785065,0.1986111304,0.4336967609
2016,0.2269436555,0.5815825458,0.6565469756,0.221416688,0.4324524521
2017,0.2074132431,0.5804751855,0.6863918201,0.231512987,0.4363133813
2018,0.233836135,0.6027309138,0.6595520929,0.2310093589,0.4265663338
2019,0.2613443042,0.6031014169,0.6297811297,0.218500687,0.4578131902
2020,0.2023031516,0.6052853749,0.6742474103,0.2344148114,0.4680300955
2021,0.3402533783,0.6524883696,0.5788958315,0.1623094022,0.4519082065
