date,weapon laws,warrants,non-criminal,personal crimes,other,property crimes,financial ,statutory crimes,secondary codes,suspicious occ,trespass,runaway,family offenses,suicide,liquor laws
2016-01-01,7,19,85,76,65,204,21,35,7,32,6,1,0,0,0
2016-01-02,3,14,42,41,46,191,13,17,8,15,4,1,0,0,0
2016-01-03,6,13,47,41,48,122,3,24,3,6,3,0,0,0,0
2016-01-04,4,17,50,45,46,149,11,10,7,22,4,0,0,0,1
2016-01-05,2,18,39,62,59,149,14,15,5,14,4,0,1,0,0
2016-01-06,0,12,34,34,45,181,6,22,7,15,4,0,0,0,0
2016-01-07,4,16,61,63,52,173,16,21,3,16,1,0,0,0,3
2016-01-08,5,10,53,52,55,210,7,24,9,13,6,0,0,0,0
2016-01-09,4,26,43,35,60,166,20,24,9,12,6,2,0,0,0
2016-01-10,1,17,41,46,55,185,12,27,6,10,2,0,0,0,0
2016-01-11,2,15,44,36,46,155,9,17,2,27,9,0,0,0,0
2016-01-12,2,16,46,53,59,171,9,29,8,13,2,1,0,0,0
2016-01-13,0,27,41,43,67,187,10,18,5,14,8,1,0,0,0
2016-01-14,4,21,49,48,46,168,20,18,7,8,5,0,0,0,1
2016-01-15,3,14,60,53,49,198,13,19,5,18,5,0,0,1,2
2016-01-16,4,19,60,51,50,210,19,12,2,16,2,0,0,1,0
2016-01-17,2,12,39,44,44,198,13,10,7,14,2,1,1,0,0
2016-01-18,4,14,42,42,37,181,11,20,7,11,5,1,0,0,0
2016-01-19,1,18,40,38,49,181,10,21,8,11,5,1,0,0,0
2016-01-20,6,15,52,48,72,209,19,20,5,10,5,1,0,0,0
2016-01-21,9,21,49,55,52,194,14,29,4,16,5,2,0,0,0
2016-01-22,0,28,40,53,59,222,11,13,2,18,7,1,1,0,0
2016-01-23,2,22,50,63,71,204,8,43,3,13,4,0,1,0,1
2016-01-24,3,18,40,45,57,177,9,21,4,21,4,0,0,0,0
2016-01-25,2,20,45,49,53,166,10,24,5,19,7,0,0,0,0
2016-01-26,6,17,44,49,66,190,15,29,7,11,7,1,0,0,0
2016-01-27,4,15,36,66,63,194,11,24,9,18,5,0,0,0,1
2016-01-28,4,21,44,30,62,179,13,18,3,18,2,0,0,0,0
2016-01-29,7,13,56,65,75,210,10,51,4,19,2,0,0,0,2
2016-01-30,3,18,52,79,42,179,9,18,2,14,2,0,0,1,2
2016-01-31,2,17,70,45,56,155,6,19,3,21,7,0,0,0,0
