year,The Rolling Stones,Fleetwood Mac,David Bowie,Pink Floyd,Billy Joel,Bob Marley & The Wailers,Queen,Metallica,Armin van Buuren,Taylor Swift
1964,39,0,0,0,0,0,0,0,0,0
1965,48,0,0,0,0,0,0,0,0,0
1966,50,1,0,0,0,0,0,0,0,0
1967,46,0,12,11,0,0,0,0,0,0
1968,10,27,0,7,0,0,0,0,0,0
1969,24,35,20,29,0,0,0,0,0,0
1970,21,9,9,5,0,0,0,0,0,0
1971,54,10,11,17,10,2,0,0,0,0
1972,49,9,15,10,0,0,0,0,0,0
1973,11,14,22,10,21,22,28,0,0,0
1974,18,5,14,0,10,9,68,0,0,0
1975,4,45,8,5,0,18,41,0,0,0
1976,8,0,16,0,8,38,30,0,0,0
1977,0,98,25,5,30,39,26,0,0,0
1978,25,0,0,0,9,49,32,0,0,0
1979,0,49,10,26,0,11,4,0,0,0
1980,10,7,10,0,10,12,32,0,0,0
1981,5,0,3,6,11,0,17,0,0,0
1982,2,16,0,0,9,0,20,0,0,0
1983,4,0,16,13,10,11,0,21,0,0
1984,0,0,5,0,0,26,24,37,0,0
1985,0,5,1,0,25,0,0,0,0,0
1986,2,0,7,0,7,2,21,25,0,0
1987,0,31,0,11,1,0,0,5,0,0
1988,0,16,0,15,0,0,0,36,0,0
1989,8,0,2,0,10,0,11,0,0,0
1990,0,2,4,0,1,0,0,0,0,0
1991,0,0,0,0,0,4,19,12,0,0
1992,0,0,0,0,0,0,8,0,0,0
1993,0,0,1,0,6,0,0,6,0,0
1994,3,0,0,11,0,0,0,0,0,0
1995,0,1,1,24,0,0,5,0,0,0
1996,0,0,0,0,0,0,0,14,0,0
1997,3,16,5,0,1,0,0,13,0,0
1998,0,0,0,0,0,0,0,21,0,0
1999,0,0,1,0,0,0,0,17,0,0
2000,0,0,0,0,25,0,0,1,0,0
2001,0,0,0,0,7,1,0,0,0,0
2002,0,2,5,0,0,13,0,0,0,0
2003,0,2,0,0,0,2,0,2,0,0
2004,2,0,0,0,0,0,0,0,1,0
2005,0,1,0,0,0,0,0,0,3,0
2006,0,0,0,0,0,0,1,0,3,16
2007,0,0,0,0,0,0,0,0,3,0
2008,0,0,0,0,0,0,0,5,3,34
2009,0,0,0,0,0,0,0,0,1,1
2010,0,0,0,0,0,0,0,0,0,34
2011,0,0,0,0,0,0,3,0,0,0
2012,0,0,0,0,0,0,0,0,0,30
2013,0,0,0,0,0,0,0,0,4,0
2014,0,0,0,0,0,0,1,0,23,31
2015,0,0,84,0,0,0,0,0,16,0
2016,0,0,3,12,0,0,0,0,16,0
2017,0,0,3,0,0,0,0,0,34,10
2018,0,48,2,0,0,0,0,0,18,0
2019,0,0,1,46,3,0,0,0,11,15
2020,4,1,1,0,0,1,0,0,91,31
2021,0,0,0,0,0,0,0,0,0,7
