acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.733,"['Exquisite Classic', 'Antonio Vivaldi']",0.339,548127,0.192,0,4WZSkuFnSbMdUVzSKOnijD,0.677,0,0.443,-18.959,0,"Violin Concerto in F minor, RV 297 - Winter",28,1920,0.0424,150.752,0.18,1920
0.000173,['Oscar Velazquez'],0.73,422087,0.7979999999999999,0,19Lc5SfJJ5O1oaxY0fpwfh,0.8009999999999999,2,0.128,-7.311,1,True House Music - Xavier Santos & Carlos Gomix Remix,17,1920-01-01,0.0425,127.997,0.0422,1920
0.00115,['Oscar Velazquez'],0.662,413571,0.936,0,5Gwgo0I8mI4idVlMC2Lb8w,0.857,4,0.0696,-7.632999999999999,0,True House Music - Luis Ache Sunset Remix,13,1920-01-01,0.0715,127.995,0.14400000000000002,1920
0.991,['Mamie Smith'],0.598,168333,0.224,0,0cS0A1fUEUd1EW3FcF8AEI,0.000522,5,0.379,-12.628,0,Keep A Song In Your Soul,12,1920,0.0936,149.976,0.634,1920
0.996,['Mamie Smith & Her Jazz Hounds'],0.424,198627,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,-11.47,1,Crazy Blues - 78rpm Version,9,1920,0.0397,103.87,0.477,1920
0.000669,['Claudia Robine'],0.823,208867,0.215,0,4HDguZ5btEwwmBrzNtDz7z,0.0906,7,0.0715,-20.204,1,Just Be Good To Me,9,1920-01-03,0.0635,96.036,0.857,1920
0.0239,['Ron van der Kraan'],0.7440000000000001,215773,0.428,0,0MwMyEO5AxYpghTU6gB85H,3.07e-05,9,0.106,-21.081,1,On a Ragga Trip,8,1920-01-03,0.0376,140.011,0.578,1920
0.643,"[""Screamin' Jay Hawkins""]",0.852,150200,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,-7.261,0,I Put A Spell On You,7,1920-01-05,0.0534,86.889,0.95,1920
0.82,"['Exquisite Classic', 'Antonio Vivaldi']",0.3,629394,0.246,0,5ZsBXuQW6nDNSMzyNd8U93,0.4320000000000001,7,0.475,-17.919,0,"Violin Concerto in G minor, RV 315 - Summer",7,1920,0.0411,135.13299999999998,0.107,1920
0.8270000000000001,"['Exquisite Classic', 'Antonio Vivaldi']",0.276,650867,0.133,0,0EmPG3HjB2iEhFrIYz5Nur,0.7070000000000001,4,0.529,-16.947,1,"Violin Concerto in E major, RV 269 - Spring",6,1920,0.0344,95.673,0.147,1920
0.992,['Mamie Smith'],0.782,195200,0.0573,0,5DlCyqLyX2AOVDTjjkDZ8x,1.61e-06,5,0.17600000000000002,-12.453,1,Don't You Advertise Your Man,5,1920,0.0592,85.652,0.487,1920
0.8320000000000001,"['Exquisite Classic', 'Antonio Vivaldi']",0.28300000000000003,733257,0.0719,0,7zpBXueltIfXWazLBTEnhQ,0.21600000000000005,5,0.116,-19.313,1,"Violin Concerto in F major, RV 293 - Autumn",5,1920,0.0374,74.59899999999998,0.0916,1920
