date,gname,longitude,latitude,value
2010-01-01,Taliban,69.620278,33.469444,4.0
2010-01-01,Tehrik-i-Taliban Pakistan (TTP),71.144852,33.697271,0.0
2010-01-00,Tehrik-i-Taliban Pakistan (TTP),72.415152,34.927925,0.0
2010-01-00,Tehrik-i-Taliban Pakistan (TTP),72.415152,34.927925,0.0
2010-01-00,Tehrik-i-Taliban Pakistan (TTP),72.415152,34.927925,0.0
2010-01-00,Tehrik-i-Taliban Pakistan (TTP),72.415152,34.927925,0.0
2010-01-00,Tehrik-i-Taliban Pakistan (TTP),72.415152,34.927925,0.0
2010-01-01,Tehrik-i-Taliban Pakistan (TTP),71.429936,34.856902000000005,6.0
2010-01-00,Tehrik-i-Taliban Pakistan (TTP),72.415152,34.927925,0.0
2010-01-01,Tehrik-i-Taliban Pakistan (TTP),70.965876,32.431245000000004,100.0
2010-01-06,Tehrik-i-Taliban Pakistan (TTP),71.429936,34.856902000000005,0.0
2010-01-07,Communist Party of India - Maoist (CPI-Maoist),86.586665,23.701401,1.0
2010-01-07,Communist Party of India - Maoist (CPI-Maoist),86.973671,22.569164,1.0
2010-01-10,Taliban,64.89389,36.420551,4.0
2010-01-14,Tehrik-i-Taliban Pakistan (TTP),71.477429,34.565494,2.0
2010-01-15,Communist Party of India - Maoist (CPI-Maoist),84.54448599999999,23.041512,7.0
2010-01-15,Communist Party of India - Maoist (CPI-Maoist),84.54448599999999,23.041512,7.0
2010-01-16,Taliban,64.905955,36.079561,0.0
2010-01-17,Taliban,61.700565000000005,34.176874,6.0
2010-01-17,Communist Party of India - Maoist (CPI-Maoist),84.986412,24.781467000000003,0.0
2010-01-17,Communist Party of India - Maoist (CPI-Maoist),84.986412,24.781467000000003,0.0
2010-01-18,Taliban,70.44959300000001,34.417122,0.0
2010-01-18,Communist Party of India - Maoist (CPI-Maoist),85.017377,25.296631,0.0
2010-01-19,Communist Party of India - Maoist (CPI-Maoist),86.499655,22.486676,1.0
2010-01-19,Tehrik-i-Taliban Pakistan (TTP),72.615832,34.396497,2.0
