iata,watches,destination
AAE,7.448299319727891,airport/AAE
AAL,168.552871400057,airport/AAL
AAN,44.5,airport/AAN
AAQ,2.23943661971831,airport/AAQ
AAR,167.552871400057,airport/AAR
AAT,9.93849643676462,airport/AAT
ABA,2.23943661971831,airport/ABA
ABE,46.652907413367664,airport/ABE
ABI,27.950526460986715,airport/ABI
ABJ,14.864736164736167,airport/ABJ
ABL,14.891503904595735,airport/ABL
ABQ,234.54179630225653,airport/ABQ
ABR,13.819574080034332,airport/ABR
ABS,21.702267573696147,airport/ABS
ABT,2.782608695652174,airport/ABT
ABV,18.936164736164734,airport/ABV
ABX,23.45787545787546,airport/ABX
ABY,21.986240746701,airport/ABY
ABZ,205.41001425719983,airport/ABZ
ACA,85.87726638772664,airport/ACA
ACC,110.86473616473617,airport/ACC
ACE,198.12810980364205,airport/ACE
ACI,144.88620473339034,airport/ACI
ACK,26.414812175272427,airport/ACK
ACT,48.950526460986715,airport/ACT
ACV,83.57244764325273,airport/ACV
ACX,9.93849643676462,airport/ACX
ACY,78.986240746701,airport/ACY
ADA,158.18685931970865,airport/ADA
ADB,159.18685931970865,airport/ADB
ADD,37.17428571428571,airport/ADD
ADE,3.2857142857142856,airport/ADE
ADF,151.18685931970865,airport/ADF
ADK,14.891503904595735,airport/ADK
ADL,72.45787545787546,airport/ADL
ADQ,18.891503904595734,airport/ADQ
ADZ,110.65240452616689,airport/ADZ
AEP,328.2286593524217,airport/AEP
AER,3.23943661971831,airport/AER
AES,150.5032260099861,airport/AES
AET,16.891503904595734,airport/AET
AEX,30.55766931812957,airport/AEX
AFA,30.72865935242173,airport/AFA
AGA,39.30544217687074,airport/AGA
AGF,265.62764076049007,airport/AGF
AGH,151.31477616196176,airport/AGH
AGP,278.378109803642,airport/AGP
AGR,15.481332755549134,airport/AGR
AGS,42.986240746701,airport/AGS
AGT,24.854785478547853,airport/AGT
AGU,69.87726638772664,airport/AGU
AGX,14.481332755549134,airport/AGX
AHB,4.782608695652174,airport/AHB
AHE,27.947252747252747,airport/AHE
AHN,16.986240746701,airport/AHN
AHO,201.02713709748642,airport/AHO
AHU,36.30544217687074,airport/AHU
AIA,12.20846296892322,airport/AIA
AIN,14.891503904595735,airport/AIN
AIT,26.247252747252748,airport/AIT
AJA,267.62764076049007,airport/AJA
AJF,2.782608695652174,airport/AJF
AJI,151.18685931970865,airport/AJI
AJL,14.481332755549134,airport/AJL
AJR,151.31477616196176,airport/AJR
AJU,31.01570501877774,airport/AJU
AKI,14.891503904595735,airport/AKI
AKJ,146.42088220586126,airport/AKJ
AKL,348.63186813186815,airport/AKL
AKN,14.891503904595735,airport/AKN
AKP,14.891503904595735,airport/AKP
AKS,12.497931480284421,airport/AKS
AKU,9.93849643676462,airport/AKU
AKV,14.093464054164524,airport/AKV
AKX,7.3906203823683185,airport/AKX
ALA,8.390620382368319,airport/ALA
