gname,attype,value
Taliban,Armed Assault,1806
Taliban,Assassination,407
Taliban,Bombing/Explosion,2390
Taliban,Facility/Infrastructure Attack,172
Taliban,Hijacking,7
Taliban,Hostage Taking (Barricade Incident),18
Taliban,Hostage Taking (Kidnapping),588
Taliban,Unarmed Assault,27
Taliban,Unknown,908
Islamic State of Iraq and the Levant (ISIL),Armed Assault,417
Islamic State of Iraq and the Levant (ISIL),Assassination,116
Islamic State of Iraq and the Levant (ISIL),Bombing/Explosion,3673
Islamic State of Iraq and the Levant (ISIL),Facility/Infrastructure Attack,58
Islamic State of Iraq and the Levant (ISIL),Hijacking,4
Islamic State of Iraq and the Levant (ISIL),Hostage Taking (Barricade Incident),20
Islamic State of Iraq and the Levant (ISIL),Hostage Taking (Kidnapping),595
Islamic State of Iraq and the Levant (ISIL),Unarmed Assault,0
Islamic State of Iraq and the Levant (ISIL),Unknown,701
Al-Shabaab,Armed Assault,942
Al-Shabaab,Assassination,318
Al-Shabaab,Bombing/Explosion,1182
Al-Shabaab,Facility/Infrastructure Attack,62
Al-Shabaab,Hijacking,26
Al-Shabaab,Hostage Taking (Barricade Incident),24
Al-Shabaab,Hostage Taking (Kidnapping),275
Al-Shabaab,Unarmed Assault,7
Al-Shabaab,Unknown,349
Boko Haram,Armed Assault,1017
Boko Haram,Assassination,55
Boko Haram,Bombing/Explosion,833
Boko Haram,Facility/Infrastructure Attack,159
Boko Haram,Hijacking,3
Boko Haram,Hostage Taking (Barricade Incident),13
Boko Haram,Hostage Taking (Kidnapping),191
Boko Haram,Unarmed Assault,0
Boko Haram,Unknown,127
New People's Army (NPA),Armed Assault,652
New People's Army (NPA),Assassination,66
New People's Army (NPA),Bombing/Explosion,286
New People's Army (NPA),Facility/Infrastructure Attack,259
New People's Army (NPA),Hijacking,12
New People's Army (NPA),Hostage Taking (Barricade Incident),30
New People's Army (NPA),Hostage Taking (Kidnapping),149
New People's Army (NPA),Unarmed Assault,2
New People's Army (NPA),Unknown,82
Maoists,Armed Assault,286
Maoists,Assassination,41
Maoists,Bombing/Explosion,559
Maoists,Facility/Infrastructure Attack,187
Maoists,Hijacking,1
Maoists,Hostage Taking (Barricade Incident),14
Maoists,Hostage Taking (Kidnapping),227
Maoists,Unarmed Assault,14
Maoists,Unknown,36
Communist Party of India - Maoist (CPI-Maoist),Armed Assault,375
Communist Party of India - Maoist (CPI-Maoist),Assassination,39
Communist Party of India - Maoist (CPI-Maoist),Bombing/Explosion,353
Communist Party of India - Maoist (CPI-Maoist),Facility/Infrastructure Attack,225
Communist Party of India - Maoist (CPI-Maoist),Hijacking,3
Communist Party of India - Maoist (CPI-Maoist),Hostage Taking (Barricade Incident),11
Communist Party of India - Maoist (CPI-Maoist),Hostage Taking (Kidnapping),265
Communist Party of India - Maoist (CPI-Maoist),Unarmed Assault,21
Communist Party of India - Maoist (CPI-Maoist),Unknown,39
Kurdistan Workers' Party (PKK),Armed Assault,352
Kurdistan Workers' Party (PKK),Assassination,24
Kurdistan Workers' Party (PKK),Bombing/Explosion,495
Kurdistan Workers' Party (PKK),Facility/Infrastructure Attack,94
Kurdistan Workers' Party (PKK),Hijacking,3
Kurdistan Workers' Party (PKK),Hostage Taking (Barricade Incident),3
Kurdistan Workers' Party (PKK),Hostage Taking (Kidnapping),84
Kurdistan Workers' Party (PKK),Unarmed Assault,0
Kurdistan Workers' Party (PKK),Unknown,65
Tehrik-i-Taliban Pakistan (TTP),Armed Assault,298
Tehrik-i-Taliban Pakistan (TTP),Assassination,119
Tehrik-i-Taliban Pakistan (TTP),Bombing/Explosion,525
Tehrik-i-Taliban Pakistan (TTP),Facility/Infrastructure Attack,24
Tehrik-i-Taliban Pakistan (TTP),Hijacking,0
Tehrik-i-Taliban Pakistan (TTP),Hostage Taking (Barricade Incident),7
Tehrik-i-Taliban Pakistan (TTP),Hostage Taking (Kidnapping),84
Tehrik-i-Taliban Pakistan (TTP),Unarmed Assault,0
Tehrik-i-Taliban Pakistan (TTP),Unknown,23
Houthi extremists (Ansar Allah),Armed Assault,92
Houthi extremists (Ansar Allah),Assassination,26
Houthi extremists (Ansar Allah),Bombing/Explosion,550
Houthi extremists (Ansar Allah),Facility/Infrastructure Attack,22
Houthi extremists (Ansar Allah),Hijacking,2
Houthi extremists (Ansar Allah),Hostage Taking (Barricade Incident),4
Houthi extremists (Ansar Allah),Hostage Taking (Kidnapping),129
Houthi extremists (Ansar Allah),Unarmed Assault,1
Houthi extremists (Ansar Allah),Unknown,189
