date,Taliban,Islamic State of Iraq and the Levant (ISIL),Al-Shabaab,Boko Haram,New People's Army (NPA),Maoists,Communist Party of India - Maoist (CPI-Maoist),Kurdistan Workers' Party (PKK),Tehrik-i-Taliban Pakistan (TTP),Houthi extremists (Ansar Allah),Al-Qaida in the Arabian Peninsula (AQAP),Revolutionary Armed Forces of Colombia (FARC),Donetsk People's Republic,Muslim extremists,Fulani extremists
2010-01-01,12,0,1,0,0,0,27,0,17,0,0,6,0,0,0
2010-02-01,16,0,4,0,2,0,31,0,15,2,0,13,0,0,0
2010-03-01,22,0,5,0,9,0,50,0,19,0,0,13,0,0,0
2010-04-01,15,0,7,0,3,0,49,1,9,0,1,4,0,0,1
2010-05-01,35,0,8,0,13,0,57,0,17,1,0,16,0,0,0
2010-06-01,29,0,3,0,5,0,26,1,20,0,2,15,0,0,0
2010-07-01,21,0,6,0,2,0,42,2,5,4,6,5,0,0,1
2010-08-01,29,0,4,0,1,0,28,9,5,0,7,10,0,0,0
2010-09-01,88,0,8,4,7,0,49,1,15,0,13,4,0,0,0
2010-10-01,14,0,5,5,3,0,39,0,17,1,10,6,0,0,1
2010-11-01,18,0,8,2,7,0,52,0,11,0,7,22,0,0,0
2010-12-01,9,0,11,6,3,0,55,1,11,0,2,6,0,0,0
2011-01-01,13,0,11,4,4,0,35,0,15,0,6,9,0,0,0
2011-02-01,7,0,5,7,4,0,38,1,7,0,3,10,0,0,0
2011-03-01,12,0,6,8,3,0,42,0,12,0,5,15,0,0,0
2011-04-01,9,0,5,3,2,0,34,1,14,0,3,13,0,0,0
2011-05-01,20,0,5,8,8,1,56,4,16,0,6,15,0,0,0
2011-06-01,18,0,16,11,8,1,38,2,13,0,9,2,0,0,0
2011-07-01,16,0,18,9,3,0,29,3,3,0,8,0,0,0,0
2011-08-01,16,0,13,8,1,0,32,4,9,0,9,0,0,0,0
2011-09-01,20,0,9,11,0,0,24,12,8,0,10,0,0,0,0
2011-10-01,19,0,18,12,3,0,26,4,6,0,3,0,0,0,0
2011-11-01,37,0,44,29,11,19,3,4,2,0,6,10,0,1,0
2011-12-01,26,0,11,14,0,15,14,0,15,0,6,9,0,0,0
2012-01-01,52,0,18,71,2,6,1,0,11,0,7,5,0,10,0
2012-02-01,41,0,26,45,4,11,0,1,12,0,10,7,0,1,0
2012-03-01,61,0,21,43,8,11,5,1,21,0,35,6,0,6,0
