date,gname,longitude,latitude,value,attype
2017-01-02,Taliban,65.961111,31.320556,0.0,Hostage Taking (Kidnapping)
2017-01-01,Islamic State of Iraq and the Levant (ISIL),28.689863,41.106178,39.0,Armed Assault
2017-01-01,Islamic State of Iraq and the Levant (ISIL),35.886652000000005,34.895928000000005,4.0,Bombing/Explosion
2017-01-01,Kurdistan Workers' Party (PKK),40.413484000000004,37.724137,0.0,Bombing/Explosion
2017-01-01,Al-Shabaab,42.544463,3.7980129999999996,3.0,Armed Assault
2017-01-01,Houthi extremists (Ansar Allah),44.024105,13.586484,3.0,Bombing/Explosion
2017-01-01,Khorasan Chapter of the Islamic State,62.197315,34.346722,1.0,Bombing/Explosion
2017-01-01,Taliban,64.092445,31.467463000000002,0,Unknown
2017-01-01,Taliban,64.838837,32.071931,4.0,Unknown
2017-01-01,Taliban,63.752880000000005,34.34013,0,Hostage Taking (Kidnapping)
2017-01-01,Taliban,68.93483,33.79821,0.0,Bombing/Explosion
2017-01-01,Islamic State of Iraq and the Levant (ISIL),44.47716,31.697046000000004,9.0,Bombing/Explosion
2017-01-01,Taliban,68.415329,33.542621999999994,0.0,Hostage Taking (Kidnapping)
2017-01-02,Al-Shabaab,45.273875,2.002975,6.0,Bombing/Explosion
2017-01-02,Al-Shabaab,45.326115,2.059819,5.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),43.234894,35.499439,2.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,36.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,0.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,1.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,0.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,1.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),43.491413,34.92485,4.0,Unknown
2017-01-02,Islamic State of Iraq and the Levant (ISIL),43.890713,34.208416,6.0,Bombing/Explosion
2017-01-02,Islamic State of Iraq and the Levant (ISIL),43.890713,34.208416,5.0,Bombing/Explosion
2017-01-02,Al-Shabaab,45.326115,2.059819,1.0,Unknown
2017-01-02,Taliban,62.50668,34.87048,6.0,Armed Assault
2017-01-02,Islamic State of Iraq and the Levant (ISIL),43.238815,35.466623999999996,3.0,Unknown
2017-01-03,Khorasan Chapter of the Islamic State,71.599998,34.075466,1.0,Armed Assault
2017-01-03,Taliban,66.891581,36.370146000000005,2.0,Bombing/Explosion
2017-01-03,Taliban,62.156822999999996,33.306127000000004,2.0,Bombing/Explosion
2017-01-03,Boko Haram,13.627589000000002,10.890928,0,Hostage Taking (Kidnapping)
2017-01-03,Islamic State of Iraq and the Levant (ISIL),43.198972,33.409771,2.0,Bombing/Explosion
2017-01-03,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,75.0,Bombing/Explosion
2017-01-03,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,93.0,Bombing/Explosion
2017-01-03,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,11.0,Unknown
2017-01-03,Taliban,70.555236,37.101709,0,Unknown
2017-01-02,Taliban,64.337952,31.589827000000003,10.0,Unknown
2017-01-03,Taliban,69.35927,36.420649,1.0,Bombing/Explosion
2017-01-04,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,0.0,Bombing/Explosion
2017-01-04,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,6.0,Bombing/Explosion
2017-01-04,Islamic State of Iraq and the Levant (ISIL),43.491413,34.92485,4.0,Bombing/Explosion
2017-01-04,Taliban,68.41664899999999,33.326099,1.0,Assassination
2017-01-04,Al-Shabaab,45.326115,2.059819,0.0,Bombing/Explosion
2017-01-04,Al-Shabaab,45.903969000000004,2.925025,0,Armed Assault
2017-01-04,Boko Haram,13.483585,10.842934,3.0,Bombing/Explosion
2017-01-04,Maoists,85.325012,23.369968,2.0,Hostage Taking (Kidnapping)
2017-01-04,Islamic State of Iraq and the Levant (ISIL),37.630001,34.520278999999995,0,Unknown
2017-01-05,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,8.0,Bombing/Explosion
2017-01-05,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,0.0,Bombing/Explosion
2017-01-05,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,5.0,Bombing/Explosion
2017-01-02,Taliban,64.30374499999999,31.429740999999996,1.0,Armed Assault
2017-01-05,Taliban,64.293428,35.687365,3.0,Assassination
2017-01-05,Khorasan Chapter of the Islamic State,70.44959300000001,34.417122,1.0,Bombing/Explosion
2017-01-05,Houthi extremists (Ansar Allah),43.494482,12.725161,6.0,Bombing/Explosion
2017-01-05,Islamic State of Iraq and the Levant (ISIL),35.927155,35.361571999999995,12.0,Bombing/Explosion
2017-01-05,Taliban,62.406389000000004,33.890556,4.0,Bombing/Explosion
2017-01-05,New People's Army (NPA),124.593255,6.012985,0.0,Facility/Infrastructure Attack
2017-01-06,Houthi extremists (Ansar Allah),44.211895,15.325443,0.0,Hostage Taking (Barricade Incident)
2017-01-06,Islamic State of Iraq and the Levant (ISIL),43.791004,34.458889,0.0,Armed Assault
2017-01-06,Khorasan Chapter of the Islamic State,68.222884,35.392247999999995,8.0,Armed Assault
2017-01-06,Al-Shabaab,44.832062,1.978939,0,Unknown
2017-01-06,Islamic State of Iraq and the Levant (ISIL),43.791004,34.458889,6.0,Bombing/Explosion
2017-01-06,Islamic State of Iraq and the Levant (ISIL),42.37254,34.160587,13.0,Bombing/Explosion
2017-01-06,Taliban,70.238889,34.357222,2.0,Armed Assault
2017-01-06,Sinai Province of the Islamic State,33.785694,30.4653,4.0,Armed Assault
2017-01-06,Sinai Province of the Islamic State,34.896899,29.492478000000002,2.0,Armed Assault
2017-01-06,Sinai Province of the Islamic State,34.381944,30.8775,3.0,Bombing/Explosion
2017-01-07,Khorasan Chapter of the Islamic State,66.994354,30.200819,1.0,Armed Assault
2017-01-07,Islamic State of Iraq and the Levant (ISIL),44.892578,33.794651,1.0,Unknown
2017-01-07,Al-Shabaab,45.326115,2.059819,3.0,Bombing/Explosion
2017-01-07,Boko Haram,12.01246,11.247069,20.0,Armed Assault
2017-01-07,Islamic State of Iraq and the Levant (ISIL),37.046921000000005,36.585438,43.0,Bombing/Explosion
2017-01-07,Islamic State of Iraq and the Levant (ISIL),43.041111,36.214444,20.0,Bombing/Explosion
2017-01-07,Islamic State of Iraq and the Levant (ISIL),37.512276,36.366199,1.0,Unknown
2017-01-08,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,12.0,Bombing/Explosion
2017-01-08,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,7.0,Bombing/Explosion
2017-01-08,Taliban,62.920592000000006,32.230825,6.0,Bombing/Explosion
2017-01-08,Taliban,66.813451,32.401286999999996,4.0,Unknown
2017-01-08,Boko Haram,13.150967000000001,11.831097999999999,4.0,Bombing/Explosion
2017-01-08,Boko Haram,13.141459,11.840929,2.0,Bombing/Explosion
2017-01-08,Boko Haram,13.141459,11.840929,2.0,Bombing/Explosion
2017-01-08,Islamic State of Iraq and the Levant (ISIL),44.371773,33.303566,0.0,Bombing/Explosion
2017-01-08,Islamic State of Iraq and the Levant (ISIL),38.282841,34.554427000000004,0.0,Bombing/Explosion
2017-01-08,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,11.0,Bombing/Explosion
2017-01-08,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,5.0,Bombing/Explosion
2017-01-09,Sinai Province of the Islamic State,33.800865,31.126646,14.0,Bombing/Explosion
2017-01-09,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,1.0,Armed Assault
2017-01-09,Islamic State of Iraq and the Levant (ISIL),44.016667,33.438056,0.0,Bombing/Explosion
2017-01-09,Islamic State of Iraq and the Levant (ISIL),44.016667,33.438056,0.0,Bombing/Explosion
2017-01-09,Sinai Province of the Islamic State,33.72472,31.116553999999997,1.0,Armed Assault
2017-01-09,Islamic State of Iraq and the Levant (ISIL),42.21035,36.318344,10.0,Unknown
